value,xtick
55.65,150
55.65,151
56.29,152
56.61,153
57.12,154
57.46,155
59.08,156
60.3,157
61.56,158
62.57,159
62.91,160
63.06,161
63.33,162
63.66,163
63.66,164
64.4,165
65.05,166
65.63,167
66.09,168
66.5,169
66.87,170
67.37,171
67.95,172
68.53,173
69.1,174
69.62,175
70.12,176
70.66,177
70.91,178
69.97,179
69.08,180
68.23,181
67.51,182
66.8,183
66.13,184
65.49,185
64.98,186
64.57,187
64.2,188
63.78,189
63.41,190
63.07,191
62.62,192
62.42,193
62.22,194
62.05,195
61.86,196
61.72,197
61.55,198
61.53,199
61.51,200
61.48,201
61.48,202
61.49,203
61.53,204
61.6,205
61.75,206
61.89,207
62.03,208
62.13,209
62.39,210
62.64,211
62.88,212
63.09,213
63.3,214
63.51,215
63.6,216
63.68,217
63.75,218
63.82,219
63.88,220
63.94,221
63.95,222
63.84,223
63.79,224
63.75,225
63.71,226
63.62,227
63.46,228
63.31,229
63.1,230
62.89,231
62.66,232
62.47,233
62.3,234
62.15,235
62.01,236
61.86,237
61.7,238
61.55,239
61.37,240
61.29,241
61.19,242
61.13,243
61.07,244
61.01,245
61.03,246
61.1,247
61.16,248
61.23,249
61.25,250
61.28,251
61.36,252
61.44,253
61.53,254
61.61,255
61.69,256
61.75,257
61.74,258
61.82,259
61.87,260
61.93,261
62.0,262
62.0,263
62.03,264
62.03,265
62.03,266
62.0,267
61.97,268
61.97,269
61.91,270
61.87,271
61.82,272
61.79,273
61.76,274
61.71,275
61.69,276
61.67,277
61.66,278
61.65,279
61.64,280
61.59,281
61.59,282
61.58,283
61.57,284
61.57,285
61.56,286
61.51,287
61.42,288
61.4,289
61.38,290
61.37,291
61.36,292
61.34,293
61.32,294
61.33,295
61.35,296
61.37,297
61.41,298
61.45,299
61.5,300
61.53,301
61.58,302
61.63,303
61.66,304
61.63,305
61.62,306
61.66,307
61.69,308
61.73,309
61.77,310
61.8,311
61.79,312
61.78,313
61.77,314
61.74,315
61.73,316
61.73,317
61.71,318
61.67,319
61.64,320
61.61,321
61.53,322
61.46,323
61.41,324
61.37,325
61.32,326
61.28,327
61.21,328
61.14,329
61.03,330
60.95,331
60.87,332
60.78,333
60.69,334
60.59,335
60.52,336
60.41,337
60.3,338
60.19,339
60.08,340
59.97,341
59.85,342
59.74,343
59.64,344
59.55,345
59.44,346
59.35,347
59.27,348
59.18,349
59.07,350
58.95,351
58.83,352
58.74,353
58.66,354
58.57,355
58.48,356
58.39,357
58.29,358
58.18,359
58.03,360
57.99,361
57.95,362
57.92,363
57.89,364
57.86,365
57.84,366
57.85,367
57.88,368
57.92,369
57.97,370
58.01,371
58.04,372
58.09,373
58.12,374
58.16,375
58.19,376
58.17,377
58.17,378
58.22,379
58.26,380
58.34,381
58.41,382
58.46,383
58.52,384
58.57,385
58.63,386
58.69,387
58.75,388
58.78,389
58.87,390
58.96,391
59.04,392
59.12,393
59.2,394
59.28,395
59.33,396
59.36,397
59.39,398
59.42,399
59.45,400
59.48,401
59.52,402
59.57,403
59.62,404
59.65,405
59.71,406
59.74,407
59.79,408
59.82,409
59.86,410
59.88,411
59.91,412
59.93,413
59.96,414
59.99,415
60.02,416
60.05,417
60.08,418
60.09,419
60.14,420
60.18,421
60.23,422
60.27,423
60.31,424
60.36,425
60.38,426
60.42,427
60.45,428
60.49,429
60.54,430
60.58,431
60.63,432
60.65,433
60.68,434
60.71,435
60.73,436
60.74,437
60.74,438
60.71,439
60.69,440
60.67,441
60.66,442
60.62,443
60.6,444
60.57,445
60.52,446
60.47,447
60.43,448
60.37,449
60.28,450
60.2,451
60.11,452
60.02,453
59.93,454
59.84,455
59.75,456
59.65,457
59.53,458
59.42,459
59.3,460
59.19,461
59.08,462
58.96,463
58.84,464
58.72,465
58.6,466
58.47,467
58.34,468
58.23,469
58.13,470
58.04,471
57.94,472
57.85,473
57.76,474
57.68,475
57.59,476
57.51,477
57.42,478
57.34,479
57.26,480
57.17,481
57.09,482
57.0,483
56.92,484
56.81,485
56.71,486
56.61,487
56.5,488
56.4,489
56.3,490
56.19,491
56.1,492
56.01,493
55.91,494
55.82,495
55.73,496
55.64,497
55.55,498
55.46,499
55.37,500
55.29,501
55.21,502
55.12,503
55.04,504
54.97,505
54.9,506
54.82,507
54.75,508
54.68,509
54.6,510
54.52,511
54.44,512
54.37,513
54.29,514
54.29,515
54.29,516
54.29,517
54.3,518
54.3,519
54.28,520
54.26,521
54.25,522
54.24,523
54.23,524
54.22,525
54.21,526
54.19,527
54.12,528
54.06,529
54.0,530
53.94,531
53.88,532
53.83,533
53.77,534
53.71,535
53.66,536
53.61,537
53.55,538
53.49,539
53.44,540
53.39,541
53.34,542
53.28,543
53.23,544
53.18,545
53.12,546
53.07,547
53.01,548
52.95,549
52.9,550
52.84,551
52.78,552
52.72,553
52.66,554
52.6,555
52.54,556
52.47,557
52.41,558
52.35,559
52.29,560
52.23,561
52.16,562
52.1,563
52.04,564
51.98,565
51.92,566
51.86,567
51.8,568
51.75,569
51.69,570
51.63,571
51.58,572
51.52,573
51.47,574
51.41,575
51.36,576
51.3,577
51.25,578
51.2,579
51.15,580
51.1,581
51.05,582
51.0,583
50.95,584
50.89,585
50.84,586
50.79,587
50.73,588
50.68,589
50.63,590
50.57,591
50.51,592
50.46,593
50.4,594
50.35,595
50.3,596
50.26,597
50.21,598
50.16,599
50.13,600
50.09,601
50.04,602
50.01,603
49.99,604
49.96,605
49.93,606
49.92,607
49.9,608
49.87,609
49.86,610
49.84,611
49.82,612
49.81,613
49.79,614
49.79,615
49.77,616
49.76,617
49.74,618
49.74,619
49.75,620
49.77,621
49.78,622
49.8,623
49.82,624
49.84,625
49.86,626
49.88,627
49.89,628
49.92,629
49.94,630
49.95,631
49.96,632
50.0,633
50.02,634
50.04,635
50.08,636
50.12,637
50.16,638
50.2,639
50.24,640
50.29,641
50.34,642
50.4,643
50.45,644
50.51,645
50.57,646
50.64,647
50.69,648
50.75,649
50.81,650
50.89,651
50.96,652
50.95,653
50.93,654
50.91,655
50.88,656
50.86,657
50.84,658
50.85,659
50.85,660
50.87,661
50.88,662
50.89,663
50.89,664
50.88,665
50.89,666
50.9,667
50.91,668
50.93,669
50.94,670
50.96,671
51.0,672
51.04,673
51.08,674
51.12,675
51.17,676
51.21,677
51.24,678
51.28,679
51.32,680
51.35,681
51.39,682
51.43,683
51.47,684
51.51,685
51.56,686
51.6,687
51.64,688
51.68,689
51.71,690
51.74,691
51.78,692
51.81,693
51.85,694
51.88,695
51.9,696
51.93,697
51.96,698
51.99,699
52.02,700
52.05,701
52.08,702
52.11,703
52.15,704
52.18,705
52.21,706
52.23,707
52.25,708
52.27,709
52.3,710
52.32,711
52.35,712
52.37,713
52.39,714
52.41,715
52.43,716
52.45,717
52.47,718
52.49,719
52.51,720
52.51,721
52.52,722
52.52,723
52.51,724
52.5,725
52.49,726
52.49,727
52.49,728
52.49,729
52.49,730
52.49,731
52.49,732
52.48,733
52.48,734
52.47,735
52.46,736
52.46,737
52.45,738
52.45,739
52.45,740
52.45,741
52.45,742
52.45,743
52.45,744
52.46,745
52.46,746
52.47,747
52.47,748
52.48,749
52.48,750
52.5,751
52.52,752
52.55,753
52.58,754
52.6,755
52.62,756
52.65,757
52.68,758
52.72,759
52.75,760
52.77,761
52.8,762
52.82,763
52.84,764
52.86,765
52.89,766
52.91,767
52.94,768
52.97,769
52.99,770
53.02,771
53.04,772
53.07,773
53.08,774
53.11,775
53.13,776
53.16,777
53.19,778
53.22,779
53.24,780
53.26,781
53.28,782
53.3,783
53.32,784
53.34,785
53.36,786
53.39,787
53.41,788
53.43,789
53.44,790
53.44,791
53.43,792
53.45,793
53.47,794
53.48,795
53.5,796
53.51,797
53.52,798
53.54,799
53.56,800
53.57,801
53.57,802
53.58,803
53.59,804
53.6,805
53.6,806
53.61,807
53.59,808
53.57,809
53.55,810
53.54,811
53.53,812
53.52,813
53.51,814
53.5,815
53.48,816
53.47,817
53.45,818
53.43,819
53.42,820
53.4,821
53.37,822
53.34,823
53.31,824
53.28,825
53.25,826
53.22,827
53.19,828
53.16,829
53.14,830
53.11,831
53.09,832
53.06,833
53.03,834
53.0,835
52.97,836
52.95,837
52.92,838
52.9,839
52.87,840
52.85,841
52.85,842
52.85,843
52.85,844
52.84,845
52.83,846
52.83,847
52.83,848
52.82,849
52.82,850
52.82,851
52.82,852
52.83,853
52.83,854
52.83,855
52.84,856
52.84,857
52.83,858
52.83,859
52.84,860
52.84,861
52.84,862
52.84,863
52.84,864
52.85,865
52.86,866
52.87,867
52.89,868
52.91,869
52.94,870
52.97,871
53.01,872
53.04,873
53.08,874
53.11,875
53.14,876
53.18,877
53.22,878
53.26,879
53.3,880
53.35,881
53.38,882
53.43,883
53.48,884
53.53,885
53.58,886
53.62,887
53.65,888
53.67,889
53.7,890
53.72,891
53.75,892
53.77,893
53.8,894
53.82,895
53.85,896
53.87,897
53.89,898
53.9,899
53.91,900
53.92,901
53.93,902
53.94,903
53.94,904
53.94,905
53.94,906
53.96,907
53.97,908
53.98,909
54.0,910
54.0,911
54.0,912
54.0,913
54.0,914
54.01,915
54.01,916
54.01,917
54.0,918
54.01,919
54.01,920
54.02,921
54.02,922
54.02,923
54.01,924
54.0,925
53.99,926
53.97,927
53.95,928
53.93,929
53.92,930
53.9,931
53.87,932
53.84,933
53.82,934
53.77,935
53.72,936
53.68,937
53.63,938
53.59,939
