value,xtick
24.16,150
24.62,151
25.59,152
25.17,153
24.98,154
24.85,155
24.76,156
24.51,157
23.77,158
23.39,159
23.25,160
23.12,161
23.03,162
22.96,163
22.94,164
22.89,165
22.72,166
22.57,167
22.43,168
22.29,169
22.1,170
21.99,171
21.94,172
21.89,173
21.84,174
21.73,175
21.64,176
21.63,177
21.61,178
21.61,179
21.57,180
21.53,181
21.53,182
21.51,183
21.48,184
21.45,185
21.4,186
21.32,187
21.23,188
21.14,189
21.1,190
21.07,191
21.05,192
20.98,193
20.96,194
20.9,195
20.86,196
20.84,197
20.81,198
20.79,199
20.73,200
20.73,201
20.76,202
20.79,203
20.84,204
20.88,205
20.92,206
20.92,207
20.97,208
21.0,209
21.04,210
21.05,211
21.08,212
21.12,213
21.14,214
21.19,215
21.18,216
21.15,217
21.2,218
21.27,219
21.31,220
21.35,221
21.39,222
21.43,223
21.44,224
21.47,225
21.51,226
21.55,227
21.6,228
21.65,229
21.67,230
21.67,231
21.67,232
21.67,233
21.66,234
21.61,235
21.55,236
21.5,237
21.48,238
21.46,239
21.43,240
21.4,241
21.38,242
21.33,243
21.27,244
21.22,245
21.19,246
21.15,247
21.12,248
21.12,249
21.14,250
21.16,251
21.17,252
21.19,253
21.19,254
21.25,255
21.33,256
21.41,257
21.48,258
21.55,259
21.63,260
21.7,261
21.81,262
21.95,263
22.1,264
22.23,265
22.4,266
22.55,267
22.72,268
22.91,269
23.1,270
23.3,271
23.35,272
23.4,273
23.48,274
23.56,275
23.67,276
23.77,277
23.85,278
24.0,279
24.15,280
24.3,281
24.44,282
24.58,283
24.71,284
24.83,285
24.97,286
25.12,287
25.25,288
25.37,289
25.4,290
25.44,291
25.51,292
25.57,293
25.64,294
25.72,295
25.8,296
25.86,297
25.95,298
26.05,299
26.16,300
26.26,301
26.39,302
26.51,303
26.61,304
26.73,305
26.85,306
26.94,307
27.0,308
27.1,309
27.18,310
27.26,311
27.35,312
27.44,313
27.52,314
27.57,315
27.62,316
27.69,317
27.75,318
27.82,319
27.85,320
27.9,321
27.95,322
27.99,323
28.03,324
28.06,325
28.16,326
28.25,327
28.32,328
28.41,329
28.5,330
28.57,331
28.62,332
28.65,333
28.7,334
28.75,335
28.81,336
28.84,337
28.86,338
28.88,339
28.89,340
28.89,341
28.89,342
28.88,343
28.87,344
28.86,345
28.84,346
28.83,347
28.81,348
28.78,349
28.8,350
28.81,351
28.89,352
28.96,353
29.03,354
29.1,355
29.17,356
