value,xtick
15.62,150
15.5,151
15.46,152
15.32,153
15.21,154
15.0,155
14.82,156
15.56,157
15.74,158
15.92,159
16.13,160
16.23,161
16.27,162
16.24,163
16.26,164
16.3,165
16.29,166
16.32,167
16.36,168
16.36,169
16.18,170
16.06,171
16.08,172
16.02,173
15.97,174
15.97,175
15.98,176
16.05,177
16.07,178
16.11,179
16.14,180
16.07,181
15.98,182
16.06,183
16.1,184
16.13,185
16.16,186
16.18,187
16.22,188
16.23,189
16.22,190
16.28,191
16.3,192
16.33,193
16.35,194
16.38,195
16.4,196
16.41,197
16.41,198
16.31,199
16.26,200
16.26,201
16.28,202
16.31,203
16.35,204
16.39,205
16.45,206
16.52,207
16.59,208
16.66,209
16.74,210
16.81,211
16.87,212
16.94,213
17.01,214
17.08,215
17.13,216
17.18,217
17.21,218
17.24,219
17.28,220
17.32,221
17.35,222
17.39,223
17.41,224
17.42,225
17.44,226
17.47,227
17.51,228
17.56,229
17.57,230
17.58,231
17.61,232
17.64,233
17.68,234
17.71,235
17.75,236
17.78,237
17.82,238
17.85,239
17.87,240
17.89,241
17.89,242
17.89,243
17.9,244
17.92,245
17.92,246
17.93,247
17.92,248
17.91,249
17.9,250
17.9,251
17.88,252
17.86,253
17.85,254
17.83,255
17.82,256
17.8,257
17.77,258
17.74,259
17.72,260
17.7,261
17.68,262
17.66,263
17.64,264
17.61,265
17.58,266
17.56,267
17.53,268
17.52,269
17.48,270
17.44,271
17.43,272
17.41,273
17.41,274
17.42,275
17.41,276
17.42,277
17.4,278
17.38,279
17.37,280
17.36,281
17.35,282
17.34,283
17.33,284
17.32,285
17.32,286
17.32,287
17.31,288
17.3,289
17.29,290
17.29,291
17.28,292
17.27,293
17.26,294
17.25,295
17.26,296
17.27,297
17.29,298
17.3,299
17.31,300
17.34,301
17.35,302
17.38,303
17.41,304
17.43,305
17.45,306
17.47,307
17.5,308
17.53,309
17.55,310
17.59,311
17.62,312
17.66,313
17.7,314
