value,xtick
32.43,150
32.27,151
32.22,152
32.31,153
32.5,154
32.62,155
32.33,156
32.3,157
32.28,158
32.04,159
32.04,160
32.11,161
31.95,162
31.77,163
31.83,164
31.87,165
31.91,166
31.61,167
31.67,168
31.72,169
31.82,170
31.89,171
31.97,172
32.04,173
32.07,174
32.2,175
32.33,176
32.49,177
32.55,178
32.68,179
32.81,180
32.92,181
33.02,182
33.11,183
33.2,184
33.2,185
33.23,186
33.25,187
33.26,188
33.19,189
33.19,190
33.19,191
33.18,192
33.17,193
33.16,194
33.15,195
33.08,196
33.06,197
33.04,198
33.02,199
32.98,200
32.93,201
32.84,202
32.79,203
32.77,204
32.76,205
32.68,206
32.61,207
32.59,208
32.57,209
32.57,210
32.59,211
32.61,212
32.63,213
32.64,214
32.66,215
32.68,216
32.66,217
32.68,218
32.71,219
32.77,220
32.82,221
32.83,222
32.85,223
32.9,224
32.94,225
32.97,226
32.99,227
33.0,228
33.01,229
33.02,230
33.01,231
33.0,232
32.98,233
32.95,234
32.9,235
32.88,236
32.86,237
32.85,238
32.81,239
32.8,240
32.79,241
32.75,242
32.71,243
32.7,244
32.69,245
32.67,246
32.66,247
32.65,248
32.65,249
32.65,250
32.62,251
32.56,252
32.55,253
32.53,254
32.52,255
32.51,256
32.49,257
32.5,258
32.5,259
32.52,260
32.54,261
32.56,262
32.57,263
32.61,264
32.64,265
32.68,266
32.72,267
32.77,268
32.81,269
32.86,270
32.9,271
32.95,272
33.01,273
33.07,274
33.15,275
33.23,276
33.32,277
33.43,278
33.56,279
33.68,280
33.79,281
33.9,282
34.02,283
34.13,284
34.25,285
34.36,286
34.48,287
34.62,288
34.76,289
34.92,290
35.1,291
35.28,292
35.42,293
35.62,294
35.82,295
35.98,296
36.19,297
36.4,298
36.65,299
36.91,300
37.15,301
37.47,302
37.77,303
38.08,304
38.12,305
38.18,306
38.23,307
38.3,308
38.34,309
38.4,310
38.45,311
38.51,312
38.68,313
38.84,314
39.04,315
39.23,316
39.43,317
39.65,318
39.86,319
40.08,320
40.31,321
40.55,322
40.61,323
40.69,324
40.79,325
40.89,326
41.01,327
41.14,328
41.28,329
41.42,330
41.53,331
41.65,332
41.76,333
41.85,334
41.87,335
41.89,336
41.88,337
41.88,338
41.88,339
41.9,340
41.91,341
41.9,342
41.87,343
41.86,344
41.84,345
41.82,346
41.81,347
41.79,348
41.77,349
41.75,350
41.72,351
41.7,352
41.67,353
41.65,354
41.61,355
41.57,356
41.54,357
41.5,358
41.51,359
41.5,360
41.49,361
41.47,362
41.45,363
41.4,364
41.43,365
41.46,366
41.47,367
41.49,368
41.5,369
41.5,370
41.61,371
41.73,372
41.84,373
41.94,374
42.04,375
42.14,376
42.24,377
42.31,378
42.4,379
42.47,380
42.54,381
42.62,382
42.57,383
42.52,384
42.46,385
42.4,386
42.32,387
42.25,388
42.16,389
42.08,390
42.0,391
41.95,392
41.88,393
41.82,394
41.76,395
41.7,396
41.64,397
41.59,398
41.54,399
41.49,400
41.45,401
41.42,402
41.39,403
41.36,404
41.34,405
41.32,406
41.31,407
41.3,408
41.31,409
41.34,410
41.38,411
41.42,412
41.48,413
41.54,414
41.61,415
41.72,416
41.83,417
41.92,418
42.04,419
42.17,420
42.29,421
42.46,422
42.61,423
42.74,424
42.78,425
42.82,426
42.85,427
42.89,428
42.94,429
42.98,430
43.0,431
43.01,432
43.02,433
43.03,434
43.04,435
43.05,436
43.03,437
43.0,438
