value,xtick
178.45,150
178.45,151
178.45,152
184.99,153
188.91,154
191.53,155
202.66,156
211.01,157
217.5,158
234.24,159
247.94,160
259.35,161
279.49,162
296.75,163
311.7,164
324.99,165
336.72,166
347.15,167
359.06,168
369.78,169
379.48,170
386.8,171
393.49,172
399.62,173
404.57,174
409.14,175
413.38,176
426.23,177
438.19,178
449.35,179
463.23,180
476.25,181
488.47,182
498.17,183
507.32,184
515.96,185
524.26,186
532.12,187
539.58,188
540.8,189
541.95,190
543.05,191
546.89,192
550.55,193
554.04,194
555.0,195
555.92,196
556.8,197
561.98,198
566.95,199
571.72,200
572.67,201
573.59,202
574.48,203
576.26,204
577.99,205
579.65,206
577.91,207
576.23,208
574.6,209
573.05,210
571.56,211
570.11,212
567.82,213
565.61,214
563.46,215
562.46,216
561.49,217
560.55,218
559.45,219
558.37,220
557.32,221
555.89,222
554.5,223
553.15,224
551.98,225
550.83,226
549.72,227
546.5,228
543.37,229
540.32,230
536.83,231
533.42,232
530.1,233
526.58,234
523.13,235
519.77,236
516.36,237
513.04,238
509.78,239
506.91,240
504.1,241
501.35,242
498.76,243
496.22,244
493.74,245
491.36,246
489.04,247
486.77,248
484.73,249
482.74,250
480.79,251
478.45,252
476.15,253
473.9,254
471.63,255
469.41,256
467.23,257
464.73,258
462.27,259
459.86,260
457.49,261
455.17,262
452.88,263
450.35,264
447.87,265
445.42,266
442.8,267
440.22,268
437.68,269
435.4,270
433.16,271
430.96,272
428.45,273
425.98,274
423.54,275
421.32,276
419.14,277
416.99,278
415.18,279
413.4,280
411.65,281
410.17,282
408.72,283
407.28,284
406.68,285
406.08,286
405.5,287
405.04,288
404.6,289
404.15,290
403.99,291
403.84,292
403.68,293
403.79,294
403.89,295
403.99,296
403.83,297
403.67,298
403.51,299
403.05,300
402.61,301
402.17,302
401.3,303
400.45,304
399.61,305
398.4,306
397.2,307
396.02,308
394.4,309
392.79,310
391.21,311
389.55,312
387.91,313
386.29,314
384.79,315
383.31,316
381.85,317
380.55,318
379.27,319
378.0,320
376.87,321
375.75,322
374.64,323
373.25,324
371.87,325
370.51,326
369.05,327
367.61,328
366.18,329
364.59,330
363.02,331
361.47,332
359.9,333
358.34,334
356.8,335
355.23,336
353.68,337
352.14,338
350.61,339
349.1,340
347.61,341
346.03,342
344.47,343
342.93,344
