value,xtick
58.5,150
61.65,151
62.7,152
63.23,153
61.97,154
61.13,155
60.53,156
58.76,157
57.38,158
56.27,159
53.9,160
51.93,161
50.25,162
48.47,163
46.92,164
45.57,165
44.37,166
43.3,167
42.35,168
41.49,169
40.71,170
40.0,171
39.04,172
38.15,173
37.33,174
36.37,175
35.48,176
34.65,177
35.24,178
35.79,179
36.31,180
36.78,181
37.23,182
37.65,183
38.38,184
39.07,185
39.72,186
40.21,187
40.67,188
41.11,189
41.13,190
41.16,191
41.18,192
40.83,193
40.5,194
40.18,195
39.76,196
39.35,197
38.97,198
38.65,199
38.34,200
38.04,201
37.75,202
37.48,203
37.21,204
37.03,205
36.85,206
36.67,207
36.67,208
36.66,209
36.65,210
36.77,211
36.89,212
37.0,213
37.03,214
37.05,215
37.08,216
37.18,217
37.27,218
37.35,219
37.31,220
37.27,221
37.23,222
37.24,223
37.25,224
37.25,225
37.26,226
37.26,227
37.26,228
37.17,229
37.08,230
36.99,231
36.95,232
36.91,233
36.87,234
36.86,235
36.85,236
36.83,237
36.8,238
36.77,239
36.74,240
36.68,241
36.62,242
36.56,243
36.45,244
36.35,245
36.24,246
36.05,247
35.86,248
35.68,249
35.52,250
35.37,251
35.23,252
35.52,253
35.82,254
36.1,255
36.38,256
36.64,257
36.91,258
37.33,259
37.75,260
38.16,261
38.49,262
38.82,263
39.14,264
39.49,265
39.84,266
40.17,267
40.68,268
41.17,269
41.66,270
42.52,271
43.35,272
44.18,273
45.17,274
46.15,275
47.1,276
48.46,277
49.8,278
51.11,279
52.86,280
54.58,281
56.28,282
57.79,283
59.27,284
60.74,285
62.25,286
63.74,287
65.21,288
66.2,289
67.16,290
68.12,291
69.23,292
70.32,293
71.39,294
72.32,295
73.24,296
74.14,297
75.08,298
76.01,299
76.92,300
77.76,301
78.59,302
79.4,303
80.32,304
81.22,305
82.11,306
82.69,307
83.26,308
83.82,309
84.15,310
84.47,311
84.79,312
84.69,313
84.58,314
84.48,315
84.39,316
84.3,317
84.22,318
84.08,319
83.95,320
83.81,321
83.61,322
83.4,323
83.2,324
83.02,325
82.84,326
82.66,327
82.52,328
82.38,329
82.24,330
82.07,331
81.9,332
81.73,333
81.59,334
81.46,335
81.32,336
81.13,337
80.94,338
80.76,339
80.55,340
80.34,341
80.13,342
79.94,343
79.74,344
79.55,345
79.32,346
79.1,347
78.89,348
78.78,349
78.67,350
78.57,351
78.5,352
78.43,353
78.36,354
78.33,355
78.3,356
78.27,357
78.31,358
78.34,359
78.38,360
78.41,361
78.44,362
78.47,363
78.52,364
78.57,365
78.61,366
78.55,367
78.48,368
78.42,369
78.36,370
78.31,371
78.25,372
78.13,373
78.02,374
77.9,375
77.9,376
77.9,377
77.9,378
78.07,379
78.24,380
78.41,381
78.71,382
79.01,383
79.31,384
79.9,385
80.49,386
81.08,387
82.0,388
82.91,389
83.81,390
84.85,391
85.87,392
86.89,393
87.93,394
88.96,395
89.99,396
90.71,397
91.42,398
92.12,399
92.6,400
93.08,401
93.55,402
94.05,403
94.55,404
95.05,405
95.37,406
95.69,407
96.0,408
96.21,409
96.41,410
96.62,411
96.47,412
96.32,413
96.17,414
95.99,415
95.81,416
95.63,417
95.46,418
95.29,419
95.12,420
94.94,421
94.76,422
94.58,423
94.42,424
94.25,425
94.09,426
93.92,427
93.75,428
93.58,429
93.78,430
93.97,431
94.17,432
94.4,433
94.62,434
94.85,435
95.13,436
95.41,437
95.69,438
95.83,439
95.98,440
96.12,441
96.05,442
95.99,443
95.92,444
95.81,445
95.7,446
95.6,447
95.39,448
95.18,449
94.97,450
94.77,451
94.56,452
94.35,453
94.47,454
94.58,455
94.69,456
94.96,457
95.22,458
95.48,459
96.21,460
