value,xtick
47.88,150
47.88,151
50.15,152
51.28,153
51.96,154
51.28,155
50.8,156
50.43,157
51.78,158
52.85,159
53.73,160
54.82,161
55.75,162
56.54,163
55.09,164
53.83,165
52.72,166
51.73,167
50.84,168
50.05,169
49.47,170
48.95,171
48.47,172
47.99,173
47.56,174
47.15,175
47.02,176
46.89,177
46.78,178
46.98,179
47.18,180
47.36,181
47.44,182
47.52,183
47.6,184
47.68,185
47.75,186
47.81,187
47.47,188
47.15,189
46.84,190
46.77,191
46.71,192
46.64,193
46.29,194
45.96,195
45.64,196
45.3,197
44.98,198
44.67,199
44.38,200
44.09,201
43.82,202
43.32,203
42.84,204
42.37,205
42.23,206
42.08,207
41.95,208
41.92,209
41.89,210
41.86,211
41.71,212
41.56,213
41.42,214
41.4,215
41.39,216
41.37,217
41.03,218
40.69,219
40.37,220
40.04,221
39.72,222
39.41,223
39.07,224
38.75,225
38.43,226
38.15,227
37.88,228
37.62,229
37.47,230
37.32,231
37.17,232
37.27,233
37.36,234
37.46,235
37.8,236
38.14,237
38.48,238
38.8,239
39.12,240
39.43,241
39.45,242
39.48,243
39.51,244
39.41,245
39.32,246
39.22,247
39.16,248
39.11,249
39.05,250
38.92,251
38.79,252
38.66,253
38.46,254
38.27,255
38.08,256
37.95,257
37.82,258
37.7,259
37.56,260
37.44,261
37.31,262
37.22,263
37.13,264
37.04,265
36.93,266
36.81,267
36.7,268
36.7,269
36.7,270
36.7,271
36.69,272
36.69,273
36.68,274
36.71,275
36.74,276
36.77,277
36.72,278
36.67,279
36.63,280
36.54,281
36.46,282
36.38,283
36.32,284
36.27,285
36.21,286
36.06,287
35.91,288
35.76,289
35.67,290
35.57,291
35.47,292
35.59,293
35.71,294
35.83,295
35.99,296
36.16,297
36.32,298
36.53,299
36.73,300
36.93,301
36.86,302
36.79,303
36.73,304
36.73,305
36.73,306
36.72,307
36.68,308
36.63,309
36.58,310
36.62,311
36.66,312
36.7,313
36.73,314
36.75,315
36.78,316
37.06,317
37.34,318
37.62,319
37.97,320
38.31,321
38.65,322
39.33,323
40.01,324
40.67,325
41.42,326
42.16,327
42.89,328
43.68,329
44.46,330
45.23,331
46.27,332
47.3,333
48.32,334
49.72,335
51.11,336
52.48,337
53.72,338
54.94,339
56.15,340
57.45,341
58.73,342
59.99,343
61.33,344
62.65,345
63.96,346
65.12,347
66.28,348
67.42,349
68.78,350
70.13,351
71.47,352
72.44,353
73.41,354
74.37,355
75.14,356
75.91,357
76.67,358
77.06,359
77.45,360
77.83,361
78.03,362
78.24,363
78.44,364
78.72,365
78.99,366
79.26,367
79.52,368
79.78,369
80.03,370
80.29,371
80.56,372
80.82,373
81.57,374
82.31,375
83.05,376
84.0,377
84.94,378
85.87,379
87.29,380
88.69,381
90.09,382
91.75,383
93.4,384
95.03,385
97.1,386
99.16,387
101.2,388
103.26,389
105.29,390
107.32,391
109.04,392
110.76,393
112.45,394
113.81,395
115.16,396
116.49,397
117.39,398
118.29,399
119.17,400
119.95,401
120.73,402
121.5,403
122.08,404
122.65,405
123.22,406
123.46,407
123.71,408
123.95,409
123.94,410
123.94,411
123.94,412
123.93,413
123.92,414
123.91,415
123.96,416
124.02,417
124.07,418
124.19,419
124.3,420
124.42,421
124.38,422
124.34,423
124.31,424
124.36,425
124.41,426
124.45,427
124.53,428
124.61,429
124.68,430
126.2,431
127.71,432
129.21,433
131.78,434
134.34,435
136.88,436
139.79,437
142.69,438
145.56,439
148.86,440
152.15,441
155.4,442
159.22,443
163.0,444
166.76,445
170.49,446
174.19,447
177.86,448
180.36,449
182.84,450
185.3,451
186.85,452
188.39,453
189.92,454
190.45,455
190.97,456
191.48,457
191.89,458
192.29,459
192.69,460
192.82,461
192.96,462
193.09,463
193.27,464
193.45,465
193.62,466
193.54,467
193.47,468
193.39,469
193.19,470
192.99,471
192.8,472
192.56,473
192.33,474
192.1,475
191.91,476
191.72,477
191.53,478
191.21,479
190.9,480
190.59,481
190.22,482
189.84,483
189.47,484
189.07,485
188.67,486
188.27,487
187.89,488
187.51,489
187.13,490
186.89,491
186.65,492
186.42,493
186.24,494
186.05,495
185.87,496
185.63,497
185.4,498
185.16,499
184.91,500
184.65,501
184.4,502
184.12,503
183.84,504
183.56,505
183.32,506
183.09,507
182.85,508
182.71,509
182.57,510
182.43,511
182.31,512
182.19,513
182.07,514
182.18,515
182.28,516
182.39,517
182.55,518
182.71,519
182.87,520
183.42,521
183.97,522
184.51,523
185.07,524
185.63,525
186.18,526
