value,xtick
71.6,150
80.29,151
83.19,152
84.64,153
84.99,154
85.22,155
85.39,156
84.44,157
83.71,158
83.12,159
81.75,160
80.6,161
79.63,162
78.28,163
77.11,164
76.09,165
75.47,166
74.92,167
74.42,168
74.4,169
74.37,170
74.35,171
73.57,172
72.86,173
72.2,174
72.13,175
72.07,176
72.01,177
71.26,178
70.55,179
69.89,180
69.53,181
69.2,182
68.88,183
68.47,184
68.08,185
67.71,186
67.55,187
67.39,188
67.24,189
68.06,190
68.84,191
69.58,192
70.12,193
70.65,194
71.15,195
72.17,196
73.15,197
74.09,198
74.46,199
74.81,200
75.16,201
75.19,202
75.22,203
75.25,204
74.78,205
74.33,206
73.9,207
73.45,208
73.01,209
72.59,210
72.56,211
72.54,212
72.52,213
72.65,214
72.77,215
72.89,216
72.69,217
72.48,218
72.29,219
72.17,220
72.06,221
71.95,222
71.29,223
70.65,224
70.03,225
69.45,226
68.9,227
68.35,228
68.02,229
67.7,230
67.39,231
67.21,232
67.04,233
66.86,234
67.04,235
67.21,236
67.37,237
67.51,238
67.65,239
67.78,240
67.92,241
68.06,242
68.2,243
68.11,244
68.03,245
67.94,246
67.71,247
67.49,248
67.27,249
67.26,250
67.26,251
67.25,252
67.1,253
66.96,254
66.81,255
66.97,256
67.13,257
67.28,258
67.36,259
67.44,260
67.52,261
67.57,262
67.62,263
67.67,264
67.65,265
67.63,266
67.61,267
67.62,268
67.62,269
67.62,270
67.68,271
67.75,272
67.81,273
67.94,274
68.08,275
68.22,276
69.28,277
70.32,278
71.35,279
72.44,280
73.52,281
74.58,282
75.73,283
76.87,284
77.98,285
78.53,286
79.06,287
79.59,288
80.55,289
81.5,290
82.44,291
83.43,292
84.4,293
85.37,294
87.61,295
89.82,296
92.01,297
94.59,298
97.15,299
99.67,300
102.56,301
105.41,302
108.22,303
111.2,304
114.14,305
117.04,306
120.28,307
123.48,308
126.65,309
130.56,310
134.43,311
138.26,312
142.33,313
146.35,314
150.32,315
153.72,316
157.08,317
160.4,318
163.0,319
165.58,320
168.13,321
170.48,322
172.8,323
175.1,324
177.06,325
179.0,326
180.91,327
182.54,328
184.16,329
185.75,330
186.91,331
188.06,332
189.19,333
189.6,334
190.01,335
190.41,336
190.29,337
190.18,338
190.07,339
189.79,340
189.52,341
189.24,342
188.98,343
188.73,344
188.47,345
188.09,346
187.71,347
187.33,348
186.93,349
186.54,350
186.15,351
185.69,352
185.24,353
184.79,354
184.28,355
183.77,356
183.26,357
182.72,358
182.19,359
181.66,360
181.25,361
180.84,362
180.44,363
179.97,364
179.5,365
179.03,366
178.6,367
178.16,368
177.73,369
177.46,370
177.18,371
176.91,372
176.81,373
176.72,374
176.63,375
176.68,376
176.72,377
176.77,378
176.84,379
176.91,380
176.98,381
176.79,382
176.6,383
176.42,384
176.17,385
175.93,386
175.69,387
175.16,388
174.64,389
174.12,390
173.54,391
172.96,392
172.39,393
171.77,394
171.16,395
170.55,396
169.96,397
169.37,398
168.78,399
168.27,400
167.76,401
167.26,402
166.78,403
166.3,404
165.83,405
165.61,406
165.39,407
165.17,408
165.01,409
164.85,410
164.69,411
164.82,412
164.94,413
165.07,414
165.48,415
165.89,416
166.3,417
166.77,418
167.24,419
167.71,420
168.3,421
168.89,422
169.47,423
169.93,424
170.38,425
170.83,426
171.3,427
171.78,428
172.25,429
172.42,430
172.59,431
172.76,432
172.74,433
172.72,434
172.69,435
172.29,436
171.89,437
171.5,438
171.05,439
170.62,440
170.18,441
169.69,442
169.2,443
168.72,444
168.24,445
167.76,446
