value,xtick
30.33,150
29.73,151
29.12,152
29.34,153
29.36,154
29.37,155
29.05,156
28.91,157
28.61,158
28.37,159
28.11,160
27.76,161
27.43,162
27.02,163
26.8,164
26.6,165
26.33,166
26.06,167
26.14,168
26.27,169
26.49,170
26.74,171
26.96,172
27.16,173
27.24,174
27.57,175
28.06,176
28.53,177
29.02,178
29.46,179
29.88,180
30.27,181
30.71,182
31.13,183
31.53,184
31.75,185
32.04,186
32.49,187
32.89,188
33.27,189
33.64,190
33.99,191
34.19,192
34.35,193
34.59,194
34.82,195
35.04,196
35.26,197
35.46,198
35.56,199
35.68,200
35.8,201
35.91,202
35.9,203
35.89,204
35.8,205
35.81,206
35.81,207
35.82,208
35.82,209
35.83,210
35.7,211
35.57,212
35.44,213
35.32,214
35.21,215
35.09,216
34.96,217
34.81,218
34.67,219
34.53,220
34.4,221
34.26,222
34.05,223
33.89,224
33.73,225
33.58,226
33.42,227
33.27,228
33.1,229
32.97,230
32.84,231
32.72,232
32.6,233
32.48,234
32.34,235
32.22,236
32.11,237
31.99,238
31.92,239
31.89,240
31.83,241
31.78,242
31.74,243
31.7,244
31.64,245
31.57,246
31.54,247
31.58,248
31.62,249
31.65,250
31.72,251
31.8,252
31.87,253
32.0,254
32.13,255
32.22,256
32.3,257
32.36,258
32.4,259
32.48,260
32.57,261
32.65,262
32.73,263
32.82,264
32.91,265
33.02,266
33.12,267
33.23,268
33.31,269
33.4,270
33.5,271
33.56,272
33.63,273
33.69,274
33.72,275
33.76,276
33.8,277
33.89,278
33.98,279
34.04,280
34.08,281
34.16,282
34.22,283
34.27,284
34.33,285
34.38,286
34.43,287
34.5,288
34.54,289
34.61,290
34.67,291
34.73,292
34.77,293
34.8,294
34.84,295
34.87,296
34.91,297
34.94,298
34.96,299
34.99,300
35.0,301
35.02,302
35.04,303
35.07,304
35.08,305
35.12,306
35.16,307
35.19,308
35.22,309
35.25,310
35.29,311
35.29,312
35.3,313
35.31,314
35.32,315
35.34,316
35.35,317
35.36,318
35.37,319
35.38,320
35.39,321
35.4,322
35.41,323
35.41,324
35.36,325
35.33,326
35.31,327
35.29,328
35.27,329
35.25,330
35.19,331
35.15,332
35.11,333
35.07,334
35.03,335
34.96,336
34.89,337
34.82,338
34.76,339
34.7,340
34.65,341
34.6,342
34.53,343
34.48,344
34.42,345
34.36,346
34.3,347
34.24,348
34.19,349
34.15,350
34.1,351
34.06,352
34.02,353
33.96,354
33.91,355
33.87,356
33.83,357
33.8,358
33.76,359
33.74,360
33.7,361
33.66,362
33.63,363
33.6,364
33.57,365
33.55,366
33.51,367
33.48,368
33.45,369
33.42,370
33.39,371
33.35,372
33.3,373
33.27,374
33.24,375
33.21,376
33.18,377
33.15,378
33.11,379
33.06,380
33.03,381
32.99,382
32.95,383
32.9,384
32.87,385
32.85,386
32.82,387
32.79,388
32.76,389
32.73,390
32.71,391
32.68,392
32.65,393
32.63,394
32.59,395
32.56,396
32.52,397
32.49,398
32.45,399
32.42,400
32.39,401
32.42,402
32.44,403
32.46,404
32.48,405
32.49,406
32.5,407
32.51,408
32.5,409
32.5,410
32.49,411
32.48,412
32.46,413
32.45,414
32.42,415
32.41,416
32.39,417
32.38,418
32.36,419
32.36,420
32.35,421
32.36,422
32.37,423
32.39,424
32.4,425
32.39,426
32.39,427
32.4,428
32.41,429
32.42,430
32.42,431
32.43,432
32.43,433
32.42,434
32.42,435
32.42,436
32.41,437
32.39,438
32.38,439
32.37,440
32.36,441
32.35,442
32.35,443
32.34,444
32.34,445
32.33,446
32.33,447
32.33,448
32.33,449
32.32,450
32.32,451
32.32,452
32.32,453
32.32,454
32.31,455
32.3,456
32.31,457
32.31,458
32.31,459
32.31,460
32.31,461
32.31,462
32.31,463
32.31,464
32.31,465
32.31,466
32.31,467
32.29,468
32.27,469
32.27,470
32.27,471
32.27,472
32.27,473
32.26,474
32.26,475
32.25,476
32.24,477
32.23,478
32.22,479
32.21,480
32.18,481
32.17,482
32.16,483
32.14,484
32.13,485
32.09,486
32.06,487
32.03,488
32.01,489
31.99,490
31.96,491
31.94,492
31.92,493
31.9,494
31.88,495
31.86,496
31.84,497
31.83,498
31.79,499
31.77,500
31.75,501
31.73,502
31.7,503
31.68,504
31.65,505
31.65,506
31.66,507
31.66,508
31.66,509
31.67,510
31.68,511
31.69,512
31.69,513
31.7,514
31.71,515
31.71,516
31.74,517
31.76,518
31.78,519
31.8,520
31.82,521
31.83,522
31.82,523
31.82,524
31.84,525
31.85,526
31.87,527
31.88,528
31.91,529
31.94,530
31.98,531
32.02,532
32.07,533
32.11,534
32.15,535
32.19,536
32.23,537
32.28,538
32.32,539
32.36,540
32.4,541
32.45,542
32.51,543
32.56,544
32.62,545
32.67,546
32.71,547
32.75,548
32.8,549
32.85,550
32.9,551
32.95,552
32.99,553
33.05,554
33.1,555
33.16,556
33.21,557
33.26,558
33.31,559
33.35,560
33.39,561
33.43,562
33.46,563
33.49,564
33.52,565
33.55,566
33.59,567
33.63,568
33.66,569
33.69,570
33.72,571
33.75,572
33.78,573
33.81,574
33.84,575
33.87,576
33.9,577
33.92,578
33.94,579
33.96,580
33.98,581
33.99,582
34.01,583
34.03,584
34.04,585
34.06,586
34.07,587
34.08,588
34.08,589
34.09,590
34.09,591
34.1,592
34.1,593
34.11,594
34.11,595
34.11,596
34.12,597
34.12,598
34.13,599
34.13,600
34.14,601
34.15,602
34.16,603
34.17,604
34.19,605
34.19,606
34.2,607
34.21,608
34.22,609
34.23,610
34.24,611
34.25,612
34.26,613
34.27,614
34.28,615
34.29,616
34.29,617
34.28,618
34.27,619
34.27,620
34.27,621
34.27,622
34.27,623
34.27,624
34.27,625
34.27,626
34.27,627
34.28,628
34.28,629
34.29,630
34.29,631
34.29,632
34.3,633
34.31,634
34.3,635
34.29,636
34.3,637
34.31,638
34.33,639
34.34,640
34.36,641
34.38,642
34.39,643
34.4,644
34.43,645
34.46,646
34.49,647
34.53,648
34.57,649
34.61,650
34.66,651
34.7,652
34.75,653
34.77,654
34.82,655
34.86,656
34.91,657
34.95,658
34.99,659
35.04,660
35.06,661
35.09,662
35.13,663
35.16,664
35.2,665
35.23,666
35.25,667
35.28,668
35.3,669
35.32,670
35.34,671
35.35,672
35.35,673
35.37,674
35.38,675
35.39,676
35.4,677
35.42,678
35.42,679
35.42,680
35.42,681
35.43,682
35.43,683
35.43,684
35.44,685
35.44,686
35.44,687
35.45,688
35.45,689
35.45,690
35.45,691
35.46,692
35.46,693
35.47,694
35.46,695
35.46,696
35.46,697
35.45,698
35.45,699
35.45,700
35.44,701
35.44,702
35.44,703
35.43,704
35.42,705
35.42,706
35.41,707
35.4,708
35.39,709
35.39,710
35.38,711
35.38,712
35.36,713
35.34,714
35.34,715
35.34,716
35.34,717
35.35,718
35.35,719
35.36,720
35.36,721
35.37,722
35.39,723
35.4,724
35.42,725
35.44,726
35.46,727
35.48,728
35.51,729
35.53,730
35.55,731
35.57,732
35.6,733
35.61,734
35.64,735
35.66,736
35.68,737
35.69,738
35.7,739
35.74,740
35.77,741
35.81,742
35.84,743
35.88,744
35.91,745
35.94,746
35.98,747
36.01,748
36.04,749
36.07,750
36.1,751
36.13,752
36.17,753
36.2,754
36.23,755
36.25,756
36.28,757
36.31,758
36.35,759
36.38,760
36.42,761
36.45,762
36.49,763
36.52,764
36.56,765
36.6,766
36.63,767
