value,xtick
35.26,150
35.26,151
35.26,152
34.34,153
34.14,154
34.01,155
33.91,156
33.84,157
33.77,158
33.85,159
33.89,160
33.92,161
33.94,162
33.97,163
33.92,164
33.87,165
33.93,166
34.06,167
34.18,168
34.28,169
34.53,170
34.77,171
35.0,172
35.19,173
35.38,174
35.51,175
35.61,176
35.63,177
35.91,178
36.17,179
36.41,180
36.64,181
36.89,182
37.07,183
37.35,184
37.64,185
37.94,186
38.19,187
38.25,188
38.42,189
38.59,190
38.83,191
39.06,192
39.25,193
39.48,194
39.43,195
39.52,196
39.59,197
39.67,198
39.74,199
39.8,200
39.87,201
39.85,202
39.84,203
39.82,204
39.81,205
39.67,206
39.59,207
39.5,208
39.43,209
39.36,210
39.3,211
39.19,212
39.1,213
39.0,214
38.93,215
38.85,216
38.78,217
38.68,218
38.58,219
38.46,220
38.36,221
38.25,222
38.15,223
38.01,224
37.88,225
37.75,226
37.62,227
37.49,228
37.37,229
37.21,230
37.09,231
36.93,232
36.79,233
36.66,234
36.52,235
36.39,236
36.27,237
36.16,238
36.05,239
35.94,240
35.83,241
35.72,242
35.6,243
35.49,244
35.39,245
35.29,246
35.2,247
35.09,248
34.98,249
34.94,250
34.91,251
34.89,252
34.87,253
34.85,254
34.85,255
34.91,256
34.97,257
35.03,258
35.08,259
35.14,260
35.22,261
35.31,262
35.4,263
35.49,264
35.58,265
35.68,266
35.73,267
35.83,268
35.92,269
36.01,270
36.1,271
36.15,272
36.2,273
36.26,274
36.32,275
36.38,276
36.43,277
36.49,278
36.55,279
36.62,280
36.69,281
36.75,282
36.8,283
36.86,284
36.93,285
37.0,286
37.07,287
37.13,288
37.2,289
37.25,290
37.31,291
37.38,292
37.44,293
37.5,294
37.56,295
37.62,296
37.68,297
37.73,298
37.79,299
37.85,300
37.91,301
37.97,302
38.03,303
38.07,304
38.1,305
38.14,306
38.17,307
38.2,308
38.25,309
38.27,310
38.28,311
38.3,312
38.33,313
38.3,314
38.3,315
38.31,316
38.32,317
38.33,318
38.33,319
38.35,320
38.36,321
38.37,322
38.38,323
38.39,324
38.41,325
38.38,326
38.37,327
38.37,328
38.37,329
38.38,330
38.38,331
38.37,332
38.35,333
38.32,334
38.3,335
38.27,336
38.22,337
38.16,338
38.1,339
38.05,340
38.0,341
37.95,342
37.9,343
37.82,344
37.75,345
37.69,346
37.63,347
37.57,348
37.51,349
37.45,350
37.37,351
37.3,352
37.23,353
37.17,354
37.11,355
37.04,356
36.97,357
36.91,358
36.85,359
36.79,360
36.73,361
36.65,362
36.58,363
36.52,364
36.46,365
36.39,366
36.33,367
36.27,368
36.2,369
36.13,370
36.06,371
36.0,372
35.94,373
35.88,374
35.8,375
35.73,376
35.66,377
35.6,378
35.53,379
35.46,380
35.38,381
35.31,382
35.24,383
35.18,384
35.11,385
35.04,386
34.98,387
34.92,388
34.86,389
34.8,390
34.74,391
34.68,392
34.62,393
34.56,394
34.51,395
34.46,396
34.41,397
34.35,398
34.31,399
34.26,400
34.22,401
34.18,402
34.13,403
34.09,404
34.04,405
33.99,406
33.94,407
33.9,408
33.85,409
33.9,410
33.92,411
33.93,412
33.95,413
33.97,414
33.99,415
33.99,416
33.98,417
33.96,418
33.96,419
33.95,420
33.94,421
33.92,422
33.92,423
33.9,424
33.88,425
33.86,426
33.84,427
33.81,428
33.79,429
33.76,430
33.74,431
33.72,432
33.7,433
33.68,434
33.66,435
33.63,436
33.6,437
33.58,438
33.55,439
33.52,440
33.5,441
33.47,442
33.44,443
33.42,444
33.39,445
33.37,446
33.34,447
33.31,448
33.29,449
33.27,450
33.24,451
33.22,452
33.19,453
33.16,454
33.14,455
33.13,456
33.11,457
33.09,458
33.07,459
33.04,460
33.03,461
33.01,462
32.98,463
32.95,464
32.92,465
32.9,466
32.88,467
32.86,468
32.84,469
32.81,470
32.79,471
32.76,472
32.74,473
32.72,474
32.7,475
32.68,476
32.65,477
32.64,478
32.62,479
32.61,480
32.59,481
32.58,482
32.56,483
32.54,484
32.53,485
32.51,486
32.49,487
32.48,488
32.45,489
32.44,490
32.42,491
32.41,492
32.4,493
32.39,494
32.37,495
32.34,496
32.32,497
32.29,498
32.27,499
32.25,500
32.23,501
32.22,502
32.21,503
32.19,504
32.18,505
32.17,506
32.14,507
32.14,508
32.15,509
32.15,510
32.16,511
32.1,512
32.05,513
32.0,514
31.96,515
31.92,516
31.88,517
31.84,518
31.8,519
31.77,520
31.74,521
31.71,522
31.68,523
31.65,524
31.62,525
31.6,526
31.58,527
31.56,528
31.54,529
31.53,530
31.51,531
31.49,532
31.48,533
31.47,534
31.46,535
31.45,536
31.44,537
31.43,538
31.42,539
31.4,540
31.39,541
31.37,542
31.37,543
31.36,544
31.36,545
31.35,546
31.34,547
31.33,548
31.32,549
31.31,550
31.3,551
31.29,552
31.28,553
31.28,554
31.27,555
31.26,556
31.25,557
31.24,558
31.22,559
31.21,560
31.2,561
31.2,562
31.19,563
31.19,564
31.18,565
31.17,566
31.17,567
31.16,568
31.16,569
31.16,570
31.16,571
31.16,572
31.17,573
31.17,574
31.17,575
31.17,576
31.17,577
31.17,578
31.17,579
31.17,580
31.16,581
31.16,582
31.16,583
31.15,584
31.14,585
31.13,586
31.12,587
31.11,588
31.09,589
31.11,590
31.12,591
31.14,592
31.16,593
31.18,594
31.2,595
31.19,596
31.19,597
31.19,598
31.19,599
31.19,600
31.18,601
31.18,602
31.18,603
31.18,604
31.17,605
31.17,606
31.16,607
31.16,608
31.15,609
31.14,610
31.13,611
31.12,612
31.11,613
31.1,614
31.09,615
31.08,616
31.07,617
31.06,618
31.05,619
31.05,620
31.03,621
31.02,622
31.01,623
31.0,624
30.98,625
30.97,626
30.96,627
30.94,628
30.93,629
30.92,630
30.9,631
30.89,632
30.88,633
30.86,634
30.85,635
30.84,636
30.83,637
30.82,638
30.81,639
30.81,640
30.81,641
30.81,642
30.81,643
30.81,644
30.81,645
30.81,646
30.82,647
30.82,648
30.83,649
30.83,650
30.84,651
30.84,652
30.85,653
30.85,654
30.84,655
30.83,656
30.83,657
30.83,658
30.83,659
30.84,660
30.84,661
30.85,662
30.85,663
30.85,664
30.85,665
30.85,666
30.84,667
30.84,668
30.84,669
30.84,670
30.84,671
30.84,672
30.83,673
30.83,674
30.82,675
30.81,676
30.8,677
30.79,678
30.78,679
30.77,680
30.76,681
30.75,682
30.73,683
30.72,684
30.71,685
30.69,686
30.68,687
30.66,688
30.65,689
30.63,690
30.62,691
30.6,692
30.59,693
30.57,694
30.55,695
30.54,696
30.52,697
30.5,698
30.48,699
30.47,700
30.45,701
30.43,702
30.41,703
30.39,704
30.38,705
30.35,706
30.33,707
30.31,708
30.29,709
30.27,710
30.25,711
30.23,712
30.22,713
30.21,714
30.19,715
30.18,716
30.17,717
30.16,718
30.15,719
30.15,720
30.14,721
30.14,722
30.13,723
30.13,724
30.13,725
30.13,726
30.14,727
30.14,728
30.14,729
30.15,730
30.16,731
30.16,732
30.17,733
30.18,734
30.19,735
