value,xtick
10.42,150
12.2,151
12.8,152
12.84,153
12.81,154
12.74,155
12.66,156
13.16,157
13.54,158
13.85,159
14.1,160
14.3,161
14.47,162
14.8,163
15.09,164
15.34,165
15.54,166
15.71,167
15.88,168
16.23,169
16.53,170
16.63,171
16.71,172
16.79,173
17.37,174
17.99,175
18.56,176
19.1,177
19.59,178
20.05,179
20.58,180
21.2,181
21.79,182
22.34,183
22.86,184
23.34,185
23.8,186
24.25,187
24.82,188
25.35,189
25.61,190
25.99,191
26.45,192
26.89,193
27.32,194
27.72,195
28.11,196
28.56,197
29.04,198
29.5,199
29.93,200
30.36,201
30.72,202
31.04,203
31.26,204
31.47,205
31.93,206
32.37,207
32.68,208
33.04,209
33.47,210
33.88,211
34.31,212
34.73,213
35.13,214
35.52,215
35.89,216
36.26,217
36.62,218
36.97,219
37.31,220
37.54,221
37.71,222
37.94,223
38.16,224
38.38,225
38.5,226
38.63,227
38.79,228
38.94,229
39.08,230
39.22,231
39.36,232
39.5,233
39.56,234
39.61,235
39.67,236
39.73,237
39.78,238
39.83,239
39.88,240
39.92,241
39.96,242
40.0,243
40.04,244
40.08,245
40.11,246
40.09,247
40.08,248
40.06,249
40.05,250
40.04,251
40.01,252
39.98,253
39.95,254
39.92,255
39.84,256
39.76,257
39.64,258
39.57,259
39.5,260
39.44,261
39.38,262
39.32,263
39.25,264
39.19,265
39.14,266
39.08,267
39.03,268
38.96,269
38.89,270
38.81,271
38.72,272
38.64,273
38.49,274
38.36,275
38.23,276
38.15,277
38.06,278
37.98,279
37.89,280
37.78,281
37.69,282
37.61,283
37.53,284
37.45,285
37.37,286
37.31,287
37.26,288
37.22,289
37.17,290
37.13,291
37.09,292
37.02,293
36.98,294
36.97,295
36.96,296
36.94,297
36.92,298
36.93,299
36.95,300
36.99,301
37.02,302
37.06,303
37.09,304
37.13,305
37.18,306
37.23,307
37.28,308
37.34,309
37.39,310
37.44,311
37.48,312
37.51,313
37.55,314
37.59,315
37.63,316
37.65,317
37.65,318
37.65,319
37.65,320
37.66,321
37.66,322
37.63,323
37.6,324
37.56,325
37.53,326
37.5,327
37.47,328
37.44,329
37.4,330
37.35,331
37.31,332
37.27,333
37.23,334
37.18,335
37.11,336
37.06,337
37.01,338
36.95,339
36.9,340
36.84,341
36.77,342
36.7,343
36.63,344
36.57,345
36.5,346
36.43,347
36.37,348
36.3,349
36.24,350
36.17,351
36.11,352
36.05,353
35.97,354
35.9,355
35.84,356
35.77,357
35.71,358
35.66,359
35.61,360
35.56,361
35.52,362
35.47,363
35.43,364
35.38,365
35.36,366
35.34,367
35.32,368
35.3,369
35.28,370
35.27,371
