value,xtick
17.56,150
18.19,151
18.4,152
18.5,153
18.33,154
18.22,155
18.14,156
18.09,157
18.05,158
18.02,159
17.71,160
17.72,161
17.72,162
17.73,163
17.68,164
17.63,165
17.59,166
17.27,167
17.06,168
17.03,169
17.0,170
16.97,171
16.95,172
16.91,173
16.87,174
16.83,175
16.79,176
16.75,177
16.7,178
16.6,179
16.5,180
16.36,181
16.33,182
16.3,183
16.27,184
16.16,185
16.12,186
16.11,187
16.09,188
16.08,189
16.07,190
16.06,191
16.08,192
16.12,193
16.15,194
16.18,195
16.21,196
16.22,197
16.23,198
16.24,199
16.28,200
16.32,201
16.35,202
16.39,203
16.41,204
16.42,205
16.44,206
16.45,207
16.47,208
16.48,209
16.42,210
16.41,211
16.4,212
16.38,213
16.37,214
16.35,215
16.32,216
16.29,217
16.26,218
16.23,219
16.2,220
16.17,221
16.15,222
16.14,223
16.12,224
16.11,225
16.1,226
16.07,227
16.02,228
16.06,229
16.09,230
16.12,231
16.15,232
16.18,233
16.22,234
16.27,235
16.32,236
16.37,237
16.42,238
16.48,239
16.51,240
16.55,241
16.59,242
16.63,243
16.66,244
16.66,245
16.68,246
16.69,247
16.7,248
16.71,249
16.72,250
16.72,251
16.73,252
16.74,253
16.74,254
16.75,255
16.75,256
16.76,257
16.76,258
16.77,259
16.78,260
16.78,261
16.79,262
16.79,263
16.79,264
16.79,265
16.79,266
16.78,267
16.78,268
16.77,269
16.75,270
16.72,271
16.7,272
16.68,273
16.66,274
16.64,275
16.6,276
16.56,277
16.54,278
16.52,279
16.49,280
16.47,281
16.43,282
16.41,283
16.38,284
16.35,285
16.32,286
16.3,287
16.28,288
16.26,289
16.25,290
16.24,291
16.23,292
16.21,293
16.19,294
16.18,295
16.18,296
16.17,297
16.16,298
16.15,299
16.14,300
16.13,301
16.15,302
16.17,303
16.19,304
16.22,305
16.25,306
16.27,307
16.31,308
16.34,309
16.38,310
16.41,311
16.47,312
16.52,313
16.58,314
16.63,315
16.68,316
16.73,317
16.78,318
16.83,319
16.89,320
16.96,321
17.02,322
17.07,323
17.15,324
17.23,325
17.32,326
17.4,327
17.49,328
17.57,329
17.63,330
17.76,331
17.9,332
18.03,333
18.16,334
18.29,335
18.46,336
18.62,337
18.78,338
18.94,339
19.09,340
19.26,341
19.44,342
19.63,343
19.81,344
19.99,345
20.17,346
20.33,347
20.45,348
20.6,349
20.75,350
20.91,351
21.06,352
21.2,353
21.35,354
21.51,355
21.66,356
21.81,357
21.96,358
22.11,359
22.26,360
22.39,361
22.52,362
22.65,363
22.78,364
22.9,365
23.0,366
23.13,367
23.25,368
23.37,369
23.49,370
23.6,371
23.72,372
23.8,373
23.89,374
23.98,375
24.06,376
24.15,377
24.24,378
24.32,379
24.39,380
24.47,381
24.55,382
24.62,383
24.69,384
24.76,385
24.83,386
24.89,387
24.95,388
25.01,389
25.04,390
25.09,391
25.14,392
25.18,393
25.22,394
25.26,395
25.29,396
25.31,397
25.33,398
25.35,399
25.37,400
25.36,401
25.35,402
25.35,403
25.35,404
25.34,405
25.34,406
25.32,407
25.31,408
25.31,409
25.31,410
25.31,411
25.31,412
25.31,413
25.31,414
25.32,415
25.32,416
25.32,417
25.32,418
25.32,419
25.32,420
25.31,421
25.31,422
25.31,423
25.3,424
25.29,425
25.29,426
25.29,427
25.3,428
25.3,429
25.31,430
25.31,431
25.32,432
25.34,433
25.35,434
25.36,435
25.37,436
25.39,437
25.41,438
25.43,439
25.46,440
25.49,441
25.52,442
25.56,443
25.58,444
25.62,445
25.67,446
25.72,447
25.77,448
25.83,449
25.88,450
25.93,451
25.99,452
26.04,453
26.09,454
26.15,455
26.2,456
26.25,457
26.3,458
26.34,459
26.39,460
26.44,461
26.44,462
26.47,463
26.5,464
26.53,465
26.56,466
26.59,467
26.61,468
26.62,469
