value,xtick
24.05,150
24.05,151
24.05,152
23.54,153
23.23,154
23.03,155
22.38,156
21.9,157
21.52,158
20.04,159
18.82,160
17.81,161
16.68,162
15.72,163
14.88,164
15.17,165
15.43,166
15.66,167
16.31,168
16.9,169
17.43,170
18.38,171
19.25,172
20.04,173
20.35,174
20.64,175
20.9,176
21.43,177
21.92,178
22.38,179
22.66,180
22.92,181
23.17,182
23.9,183
24.58,184
25.23,185
25.85,186
26.44,187
27.0,188
27.68,189
28.33,190
28.94,191
29.7,192
30.42,193
31.11,194
31.4,195
31.68,196
31.94,197
32.25,198
32.56,199
32.85,200
32.71,201
32.57,202
32.44,203
32.13,204
31.82,205
31.52,206
31.12,207
30.74,208
30.37,209
30.05,210
29.74,211
29.44,212
29.05,213
28.68,214
28.31,215
27.97,216
27.64,217
27.31,218
26.97,219
26.64,220
26.31,221
26.02,222
25.73,223
25.45,224
25.17,225
24.9,226
24.63,227
24.45,228
24.28,229
24.12,230
23.94,231
23.78,232
23.61,233
23.48,234
23.34,235
23.21,236
22.98,237
22.76,238
22.54,239
22.75,240
22.95,241
23.15,242
23.28,243
23.41,244
23.54,245
23.79,246
24.04,247
24.29,248
24.32,249
24.35,250
24.38,251
24.55,252
24.72,253
24.88,254
25.04,255
25.18,256
25.33,257
25.67,258
26.0,259
26.33,260
26.71,261
27.09,262
27.46,263
27.86,264
28.26,265
28.65,266
28.96,267
29.28,268
29.59,269
29.83,270
30.08,271
30.31,272
30.67,273
31.02,274
31.37,275
31.8,276
32.23,277
32.65,278
33.44,279
34.22,280
34.99,281
35.7,282
36.4,283
37.09,284
37.88,285
38.66,286
39.43,287
39.89,288
40.33,289
40.77,290
41.22,291
41.67,292
42.1,293
42.37,294
42.63,295
42.88,296
43.05,297
43.21,298
43.37,299
43.47,300
43.58,301
43.68,302
43.71,303
43.74,304
43.77,305
43.84,306
43.9,307
43.97,308
43.96,309
43.95,310
43.95,311
43.96,312
43.98,313
44.0,314
43.92,315
43.84,316
43.76,317
43.67,318
43.57,319
43.48,320
43.36,321
43.24,322
43.12,323
42.97,324
42.82,325
42.67,326
42.49,327
42.31,328
42.13,329
41.92,330
41.71,331
41.51,332
41.3,333
41.09,334
40.88,335
40.67,336
40.45,337
40.23,338
40.08,339
39.93,340
39.78,341
39.61,342
39.45,343
39.3,344
39.13,345
38.96,346
38.8,347
38.69,348
38.58,349
38.47,350
38.35,351
38.23,352
38.11,353
38.01,354
37.91,355
37.82,356
37.65,357
37.48,358
37.32,359
37.16,360
37.0,361
36.85,362
36.7,363
36.55,364
36.4,365
36.25,366
36.1,367
35.96,368
35.81,369
35.66,370
35.52,371
35.4,372
35.28,373
35.16,374
35.04,375
34.92,376
34.8,377
34.7,378
34.59,379
34.49,380
34.36,381
34.23,382
34.1,383
34.0,384
33.9,385
33.8,386
33.69,387
33.57,388
33.46,389
33.35,390
33.25,391
33.14,392
33.04,393
32.93,394
32.83,395
32.72,396
32.61,397
32.51,398
32.4,399
32.3,400
32.19,401
32.09,402
31.99,403
31.89,404
31.79,405
31.69,406
31.59,407
31.5,408
31.41,409
31.31,410
31.22,411
31.12,412
31.03,413
30.95,414
30.88,415
30.8,416
30.77,417
30.74,418
30.72,419
30.73,420
30.74,421
30.75,422
30.74,423
30.74,424
30.73,425
30.66,426
30.58,427
30.51,428
30.44,429
30.37,430
30.3,431
30.23,432
30.16,433
30.1,434
30.01,435
29.93,436
29.85,437
29.76,438
29.67,439
29.57,440
29.51,441
29.45,442
29.39,443
29.32,444
29.26,445
29.2,446
29.16,447
29.11,448
29.07,449
29.0,450
28.94,451
28.88,452
28.82,453
28.76,454
28.7,455
28.63,456
28.57,457
28.5,458
28.48,459
28.47,460
28.45,461
28.43,462
28.41,463
28.39,464
28.48,465
28.56,466
28.65,467
28.69,468
28.74,469
28.78,470
28.83,471
28.87,472
28.91,473
28.93,474
28.96,475
28.98,476
28.94,477
28.9,478
28.86,479
28.81,480
28.76,481
28.71,482
28.64,483
28.58,484
28.51,485
28.45,486
28.38,487
28.32,488
28.25,489
28.18,490
28.11,491
28.04,492
27.98,493
27.92,494
27.86,495
27.8,496
27.74,497
27.69,498
27.63,499
27.57,500
27.52,501
27.46,502
27.41,503
27.41,504
27.4,505
27.4,506
27.39,507
27.39,508
27.38,509
27.39,510
27.4,511
27.41,512
27.36,513
27.32,514
27.27,515
27.24,516
27.21,517
27.18,518
27.15,519
27.11,520
27.08,521
27.15,522
27.23,523
27.3,524
27.34,525
27.38,526
27.42,527
27.57,528
27.72,529
27.87,530
27.98,531
28.09,532
28.2,533
28.36,534
28.52,535
28.67,536
28.74,537
28.8,538
28.86,539
29.03,540
29.19,541
