value,xtick
18.06,150
18.06,151
17.5,152
17.21,153
17.05,154
17.25,155
17.4,156
17.51,157
19.4,158
20.91,159
22.14,160
22.5,161
22.8,162
23.05,163
24.22,164
25.24,165
26.14,166
26.3,167
26.44,168
26.57,169
26.86,170
27.11,171
27.34,172
26.93,173
26.55,174
26.2,175
26.32,176
26.44,177
26.55,178
27.16,179
27.72,180
28.25,181
29.06,182
29.82,183
30.54,184
32.13,185
33.63,186
35.05,187
36.83,188
38.52,189
40.13,190
40.76,191
41.37,192
41.95,193
42.53,194
43.09,195
43.62,196
43.97,197
44.3,198
44.62,199
44.5,200
44.38,201
44.26,202
43.97,203
43.69,204
43.42,205
43.01,206
42.61,207
42.23,208
41.86,209
41.51,210
41.17,211
40.82,212
40.48,213
40.15,214
39.88,215
39.62,216
39.37,217
39.06,218
38.76,219
38.47,220
38.1,221
37.73,222
37.38,223
36.92,224
36.47,225
36.04,226
35.63,227
35.23,228
34.84,229
34.46,230
34.09,231
33.73,232
33.42,233
33.12,234
32.83,235
32.61,236
32.4,237
32.2,238
32.0,239
31.81,240
31.63,241
31.45,242
31.27,243
31.1,244
31.1,245
31.11,246
31.11,247
31.1,248
31.1,249
31.09,250
31.11,251
31.13,252
31.14,253
31.02,254
30.9,255
30.79,256
30.85,257
30.92,258
30.98,259
31.05,260
31.11,261
31.17,262
31.42,263
31.66,264
31.9,265
32.2,266
32.51,267
32.8,268
33.13,269
33.46,270
33.78,271
33.94,272
34.09,273
34.25,274
34.45,275
34.65,276
34.85,277
35.28,278
35.7,279
36.12,280
36.57,281
37.02,282
37.45,283
37.91,284
38.35,285
38.79,286
39.03,287
39.26,288
39.49,289
39.71,290
39.94,291
40.16,292
40.54,293
40.93,294
41.31,295
41.84,296
42.37,297
42.89,298
43.36,299
43.82,300
44.28,301
44.87,302
45.46,303
46.04,304
46.57,305
47.1,306
47.61,307
47.87,308
48.12,309
48.37,310
48.54,311
48.71,312
48.87,313
49.06,314
49.24,315
49.42,316
49.52,317
49.63,318
49.73,319
49.8,320
49.86,321
49.92,322
49.77,323
49.62,324
49.47,325
49.32,326
49.18,327
49.03,328
48.84,329
48.66,330
48.47,331
48.25,332
48.02,333
47.81,334
47.6,335
47.39,336
47.19,337
46.94,338
46.69,339
46.45,340
46.29,341
46.13,342
45.98,343
45.82,344
45.66,345
45.5,346
45.32,347
45.13,348
44.94,349
44.75,350
44.55,351
44.36,352
44.17,353
43.97,354
43.78,355
43.59,356
43.41,357
43.22,358
43.03,359
42.84,360
42.65,361
42.46,362
42.27,363
42.09,364
41.92,365
41.75,366
41.59,367
41.42,368
41.26,369
41.1,370
40.95,371
40.81,372
40.66,373
40.5,374
40.34,375
40.19,376
40.04,377
39.89,378
39.74,379
39.59,380
39.43,381
39.28,382
39.13,383
38.98,384
38.83,385
38.68,386
38.53,387
38.37,388
38.24,389
38.1,390
37.97,391
37.83,392
37.7,393
37.57,394
37.44,395
37.31,396
37.18,397
37.06,398
36.93,399
36.81,400
36.68,401
36.55,402
36.42,403
36.29,404
36.16,405
36.03,406
35.91,407
35.78,408
35.66,409
35.54,410
35.42,411
35.31,412
35.2,413
35.1,414
35.0,415
34.89,416
34.78,417
34.68,418
34.58,419
34.48,420
34.38,421
34.27,422
34.15,423
34.03,424
33.92,425
33.81,426
33.69,427
33.58,428
33.47,429
33.36,430
33.25,431
33.15,432
33.04,433
32.94,434
32.84,435
32.74,436
32.64,437
32.54,438
32.44,439
32.34,440
32.25,441
32.15,442
32.06,443
31.97,444
31.87,445
31.78,446
31.68,447
31.59,448
31.56,449
31.52,450
31.49,451
31.44,452
31.39,453
31.34,454
31.29,455
31.25,456
31.2,457
31.16,458
31.11,459
31.06,460
30.99,461
30.91,462
30.83,463
30.76,464
30.68,465
30.6,466
30.53,467
30.46,468
30.39,469
30.3,470
30.22,471
30.15,472
30.08,473
30.01,474
29.94,475
29.87,476
29.81,477
29.74,478
29.68,479
29.62,480
29.56,481
29.5,482
29.44,483
29.37,484
29.31,485
29.24,486
29.17,487
29.1,488
29.02,489
28.95,490
28.89,491
28.83,492
28.77,493
28.71,494
28.65,495
28.59,496
28.54,497
28.48,498
28.42,499
28.39,500
28.35,501
28.32,502
28.28,503
28.24,504
28.2,505
28.19,506
28.18,507
28.17,508
28.16,509
28.14,510
28.13,511
28.11,512
28.09,513
28.08,514
28.04,515
28.0,516
27.96,517
27.94,518
27.92,519
27.9,520
27.87,521
27.83,522
27.8,523
27.78,524
27.75,525
27.73,526
27.73,527
27.72,528
27.72,529
27.73,530
27.73,531
27.74,532
27.75,533
27.75,534
27.76,535
27.78,536
27.79,537
27.8,538
27.8,539
27.8,540
27.8,541
27.87,542
27.94,543
28.02,544
28.1,545
28.18,546
28.26,547
28.4,548
28.53,549
28.66,550
28.77,551
28.88,552
28.99,553
29.11,554
29.23,555
29.35,556
29.45,557
29.54,558
29.63,559
29.72,560
29.8,561
29.88,562
29.89,563
29.91,564
29.93,565
29.96,566
29.99,567
30.02,568
30.01,569
30.01,570
30.01,571
30.01,572
30.01,573
30.01,574
30.02,575
30.03,576
30.04,577
30.05,578
30.07,579
30.08,580
30.09,581
30.11,582
30.12,583
30.11,584
30.11,585
30.1,586
30.07,587
30.04,588
30.01,589
29.98,590
29.94,591
29.91,592
29.89,593
29.87,594
29.84,595
29.81,596
29.77,597
29.73,598
29.71,599
29.69,600
29.67,601
29.64,602
29.6,603
29.57,604
29.54,605
29.5,606
29.47,607
29.45,608
29.43,609
29.4,610
29.4,611
29.39,612
29.39,613
29.38,614
29.37,615
29.36,616
29.37,617
29.37,618
29.37,619
29.35,620
29.33,621
29.32,622
29.31,623
29.3,624
29.3,625
29.27,626
29.24,627
29.21,628
29.19,629
29.16,630
29.14,631
29.13,632
29.12,633
29.1,634
29.1,635
29.1,636
29.1,637
29.09,638
29.09,639
29.09,640
29.09,641
29.1,642
29.1,643
29.1,644
29.09,645
29.08,646
29.08,647
29.08,648
29.07,649
29.09,650
29.1,651
29.12,652
29.16,653
29.19,654
29.23,655
29.26,656
29.3,657
29.33,658
29.37,659
29.41,660
29.46,661
29.47,662
29.48,663
29.5,664
29.49,665
29.48,666
29.47,667
29.46,668
29.44,669
29.42,670
29.39,671
29.36,672
29.32,673
29.31,674
29.3,675
29.29,676
29.29,677
29.29,678
29.29,679
29.29,680
29.3,681
29.31,682
29.29,683
29.26,684
29.24,685
29.23,686
29.21,687
29.2,688
29.18,689
29.15,690
29.13,691
29.11,692
29.09,693
29.07,694
29.03,695
28.98,696
28.94,697
28.9,698
28.87,699
28.83,700
28.79,701
28.75,702
28.71,703
28.68,704
28.65,705
28.62,706
28.59,707
28.55,708
28.52,709
28.52,710
28.52,711
28.52,712
28.52,713
28.52,714
28.52,715
28.53,716
28.53,717
28.54,718
28.53,719
28.51,720
28.49,721
28.49,722
28.48,723
28.47,724
28.46,725
28.46,726
28.46,727
28.46,728
28.47,729
28.48,730
28.51,731
28.54,732
28.56,733
28.59,734
28.61,735
28.63,736
28.7,737
28.76,738
28.83,739
28.9,740
28.97,741
29.05,742
29.1,743
29.15,744
29.2,745
29.23,746
29.25,747
29.28,748
29.32,749
29.35,750
29.39,751
29.42,752
29.44,753
29.47,754
29.6,755
29.73,756
29.85,757
30.0,758
30.15,759
30.3,760
30.45,761
30.6,762
30.76,763
30.85,764
30.95,765
31.05,766
31.17,767
31.29,768
31.41,769
31.55,770
31.69,771
31.83,772
31.98,773
32.12,774
32.27,775
32.36,776
32.46,777
32.55,778
32.58,779
32.61,780
32.64,781
32.65,782
32.66,783
32.67,784
32.68,785
32.68,786
32.68,787
32.68,788
32.68,789
32.68,790
32.67,791
32.65,792
32.63,793
32.61,794
32.58,795
32.56,796
32.52,797
32.49,798
32.45,799
32.41,800
32.38,801
32.34,802
32.29,803
32.24,804
32.19,805
32.15,806
32.11,807
32.06,808
32.02,809
31.98,810
31.94,811
31.89,812
31.85,813
31.81,814
31.76,815
31.72,816
31.68,817
31.64,818
31.6,819
31.56,820
31.52,821
31.48,822
31.44,823
31.4,824
31.36,825
31.32,826
31.28,827
31.24,828
31.2,829
31.16,830
31.12,831
31.07,832
31.03,833
30.99,834
30.95,835
30.91,836
30.87,837
30.83,838
30.79,839
30.76,840
30.72,841
30.68,842
30.65,843
30.61,844
30.58,845
30.55,846
30.51,847
30.48,848
30.45,849
30.42,850
30.39,851
30.35,852
30.32,853
30.28,854
30.24,855
30.21,856
30.17,857
30.13,858
30.09,859
30.05,860
30.02,861
29.98,862
29.94,863
29.9,864
29.86,865
29.83,866
29.79,867
29.75,868
29.71,869
29.68,870
29.64,871
29.6,872
29.57,873
29.53,874
29.49,875
29.46,876
29.42,877
29.38,878
29.35,879
29.31,880
29.28,881
29.24,882
29.2,883
29.17,884
29.13,885
29.1,886
29.06,887
29.03,888
28.99,889
28.95,890
28.92,891
28.88,892
28.85,893
28.81,894
28.78,895
28.75,896
28.71,897
28.68,898
28.64,899
28.61,900
28.57,901
28.54,902
28.51,903
28.47,904
28.44,905
28.41,906
28.38,907
28.34,908
28.31,909
28.28,910
28.25,911
28.22,912
28.19,913
28.15,914
28.12,915
28.08,916
28.05,917
28.02,918
27.98,919
27.95,920
27.92,921
27.88,922
27.85,923
27.82,924
27.79,925
27.76,926
27.73,927
27.69,928
27.66,929
27.63,930
27.6,931
27.58,932
27.55,933
27.52,934
27.49,935
27.47,936
27.44,937
27.42,938
27.39,939
27.37,940
27.34,941
27.32,942
27.29,943
27.27,944
27.25,945
27.23,946
27.21,947
27.19,948
27.18,949
27.16,950
27.15,951
27.13,952
27.11,953
27.09,954
27.07,955
27.04,956
27.01,957
26.98,958
26.95,959
26.92,960
26.89,961
26.86,962
26.83,963
26.8,964
26.77,965
26.74,966
26.71,967
26.68,968
26.65,969
26.62,970
26.6,971
26.58,972
26.55,973
26.55,974
26.54,975
26.53,976
26.53,977
26.54,978
26.54,979
26.54,980
26.54,981
26.54,982
26.55,983
26.57,984
26.58,985
26.57,986
26.57,987
26.56,988
26.58,989
26.61,990
26.63,991
26.65,992
26.67,993
26.69,994
26.72,995
26.76,996
26.79,997
26.81,998
26.84,999
26.86,1000
26.89,1001
26.93,1002
26.96,1003
26.97,1004
26.98,1005
26.99,1006
27.06,1007
27.14,1008
27.21,1009
27.3,1010
27.38,1011
27.47,1012
27.57,1013
27.67,1014
27.78,1015
27.81,1016
27.84,1017
27.88,1018
27.93,1019
27.98,1020
28.03,1021
28.08,1022
28.13,1023
28.17,1024
28.26,1025
28.34,1026
28.42,1027
28.49,1028
28.55,1029
28.62,1030
28.64,1031
28.66,1032
28.68,1033
28.68,1034
28.69,1035
28.69,1036
28.71,1037
28.72,1038
28.74,1039
28.75,1040
28.77,1041
28.78,1042
28.8,1043
28.81,1044
28.82,1045
28.83,1046
28.84,1047
28.85,1048
28.85,1049
28.86,1050
28.86,1051
28.86,1052
28.87,1053
28.87,1054
28.87,1055
28.87,1056
28.86,1057
28.86,1058
28.86,1059
28.86,1060
28.85,1061
28.83,1062
28.81,1063
28.81,1064
28.8,1065
28.8,1066
28.79,1067
28.78,1068
28.77,1069
28.77,1070
28.77,1071
28.77,1072
28.77,1073
28.76,1074
28.76,1075
28.75,1076
28.75,1077
28.75,1078
28.75,1079
28.75,1080
28.76,1081
28.76,1082
28.76,1083
28.75,1084
28.75,1085
28.74,1086
28.74,1087
28.74,1088
28.74,1089
28.74,1090
28.73,1091
28.72,1092
28.71,1093
28.7,1094
28.7,1095
28.69,1096
28.68,1097
28.67,1098
28.65,1099
28.64,1100
28.63,1101
28.62,1102
28.61,1103
28.61,1104
28.61,1105
28.6,1106
28.59,1107
28.58,1108
28.57,1109
28.56,1110
28.55,1111
28.55,1112
28.55,1113
28.55,1114
28.56,1115
28.56,1116
28.57,1117
28.58,1118
28.58,1119
28.59,1120
28.6,1121
28.61,1122
28.61,1123
28.63,1124
28.66,1125
28.68,1126
28.7,1127
28.72,1128
28.74,1129
28.76,1130
28.77,1131
28.78,1132
28.78,1133
28.78,1134
28.78,1135
28.76,1136
28.75,1137
28.73,1138
28.72,1139
28.72,1140
28.71,1141
28.7,1142
28.69,1143
28.69,1144
28.69,1145
28.69,1146
28.68,1147
28.67,1148
28.65,1149
28.64,1150
28.62,1151
28.61,1152
28.6,1153
28.59,1154
28.57,1155
28.56,1156
28.54,1157
28.52,1158
28.5,1159
28.48,1160
28.46,1161
28.44,1162
28.42,1163
28.41,1164
28.39,1165
28.37,1166
28.35,1167
28.33,1168
28.31,1169
28.29,1170
28.27,1171
28.25,1172
28.23,1173
28.21,1174
28.18,1175
28.16,1176
28.13,1177
28.11,1178
28.09,1179
28.07,1180
28.07,1181
28.07,1182
28.07,1183
28.07,1184
28.07,1185
28.07,1186
28.08,1187
28.09,1188
28.1,1189
28.11,1190
28.12,1191
28.13,1192
28.15,1193
28.16,1194
28.18,1195
28.21,1196
28.24,1197
28.27,1198
28.31,1199
28.35,1200
28.39,1201
28.42,1202
28.45,1203
28.48,1204
28.5,1205
28.53,1206
28.56,1207
