value,xtick
6.27,150
6.27,151
5.44,152
5.02,153
4.77,154
4.73,155
4.71,156
4.68,157
4.47,158
4.29,159
4.15,160
4.05,161
3.96,162
3.88,163
3.83,164
3.78,165
3.73,166
3.69,167
3.65,168
3.62,169
4.18,170
4.69,171
5.15,172
5.46,173
5.75,174
6.02,175
7.84,176
9.53,177
11.11,178
12.67,179
14.14,180
15.51,181
17.3,182
18.98,183
20.57,184
22.16,185
23.67,186
25.1,187
26.2,188
27.24,189
28.23,190
29.31,191
30.34,192
31.32,193
32.06,194
32.76,195
33.44,196
34.14,197
34.81,198
35.45,199
36.45,200
37.4,201
38.33,202
40.01,203
41.63,204
43.19,205
45.42,206
47.58,207
49.66,208
51.83,209
53.93,210
55.96,211
56.98,212
57.97,213
58.93,214
59.71,215
60.47,216
61.21,217
61.94,218
62.65,219
63.34,220
64.08,221
64.81,222
65.51,223
65.74,224
65.96,225
66.18,226
66.12,227
66.05,228
65.98,229
65.85,230
65.73,231
65.6,232
65.77,233
65.93,234
66.09,235
66.01,236
65.92,237
65.84,238
65.89,239
65.94,240
65.99,241
65.52,242
65.06,243
64.61,244
64.26,245
63.91,246
63.58,247
63.19,248
62.8,249
62.43,250
62.24,251
62.06,252
61.88,253
61.56,254
61.26,255
60.95,256
60.68,257
60.4,258
60.13,259
59.7,260
59.28,261
58.86,262
58.44,263
58.04,264
57.64,265
57.21,266
56.79,267
56.38,268
55.99,269
55.62,270
55.24,271
54.82,272
54.41,273
54.0,274
53.89,275
53.78,276
53.67,277
53.57,278
53.47,279
53.37,280
53.43,281
53.48,282
53.53,283
53.26,284
53.0,285
52.74,286
52.5,287
52.27,288
52.05,289
51.9,290
51.75,291
51.6,292
51.39,293
51.19,294
50.99,295
50.8,296
50.6,297
50.41,298
50.33,299
50.24,300
50.16,301
50.11,302
50.05,303
50.01,304
50.06,305
50.11,306
50.16,307
50.22,308
50.28,309
50.34,310
50.25,311
50.17,312
50.09,313
50.01,314
49.94,315
49.86,316
49.72,317
49.57,318
49.43,319
49.24,320
49.04,321
48.85,322
48.65,323
48.44,324
48.24,325
48.04,326
47.85,327
47.65,328
47.43,329
47.22,330
47.0,331
46.78,332
46.56,333
46.34,334
46.15,335
45.96,336
45.77,337
45.56,338
45.35,339
45.15,340
44.95,341
44.75,342
44.55,343
44.36,344
44.17,345
43.98,346
43.77,347
43.57,348
43.37,349
43.18,350
42.98,351
42.78,352
42.61,353
42.44,354
42.27,355
42.1,356
41.92,357
41.76,358
41.6,359
41.44,360
41.28,361
41.26,362
41.23,363
41.21,364
41.21,365
41.21,366
41.2,367
41.17,368
41.14,369
41.1,370
40.98,371
40.85,372
40.73,373
40.8,374
40.87,375
40.94,376
41.04,377
41.14,378
41.24,379
41.39,380
41.53,381
41.67,382
41.86,383
42.03,384
42.21,385
42.58,386
42.94,387
43.29,388
43.66,389
44.02,390
44.38,391
44.69,392
44.99,393
45.29,394
45.61,395
45.92,396
46.23,397
46.55,398
46.87,399
47.19,400
47.5,401
47.81,402
48.11,403
48.58,404
49.05,405
49.51,406
49.98,407
50.44,408
50.89,409
51.35,410
51.81,411
52.27,412
52.77,413
53.27,414
53.76,415
54.05,416
54.34,417
54.63,418
54.93,419
55.23,420
55.52,421
55.68,422
55.83,423
55.99,424
56.07,425
56.16,426
56.24,427
56.27,428
56.3,429
56.33,430
56.35,431
56.38,432
56.41,433
56.43,434
56.46,435
56.49,436
56.48,437
56.47,438
56.46,439
56.45,440
56.44,441
56.42,442
56.32,443
56.21,444
56.11,445
55.99,446
55.88,447
55.76,448
55.67,449
55.57,450
55.48,451
55.34,452
55.2,453
55.07,454
54.9,455
54.73,456
54.57,457
54.4,458
54.23,459
54.07,460
53.92,461
53.78,462
53.64,463
53.5,464
53.37,465
53.23,466
53.09,467
52.95,468
52.81,469
52.66,470
52.5,471
52.35,472
52.22,473
52.09,474
51.96,475
51.83,476
51.7,477
51.57,478
51.45,479
51.33,480
51.21,481
51.07,482
50.94,483
50.8,484
50.66,485
50.53,486
50.39,487
50.25,488
50.12,489
49.98,490
49.86,491
49.74,492
49.61,493
49.49,494
49.37,495
49.24,496
49.12,497
49.01,498
48.89,499
48.76,500
48.64,501
48.52,502
48.39,503
48.26,504
48.14,505
48.01,506
47.89,507
47.77,508
47.66,509
47.54,510
47.42,511
47.3,512
47.19,513
47.07,514
46.97,515
46.87,516
46.77,517
46.66,518
46.56,519
46.46,520
46.41,521
46.37,522
46.32,523
46.26,524
46.2,525
46.13,526
46.06,527
45.99,528
45.92,529
45.84,530
45.76,531
45.68,532
45.58,533
45.48,534
45.38,535
45.27,536
45.17,537
45.07,538
44.98,539
44.89,540
44.8,541
44.71,542
44.61,543
44.52,544
44.42,545
44.33,546
44.24,547
44.14,548
44.05,549
43.96,550
43.9,551
43.85,552
43.8,553
43.74,554
43.67,555
43.61,556
43.59,557
43.57,558
43.55,559
43.48,560
43.41,561
43.34,562
43.29,563
43.24,564
43.18,565
43.12,566
43.06,567
43.0,568
42.92,569
42.83,570
42.75,571
42.66,572
42.57,573
42.49,574
42.4,575
42.31,576
42.21,577
42.12,578
42.03,579
41.94,580
41.85,581
41.76,582
41.68,583
41.59,584
41.5,585
41.41,586
41.34,587
41.27,588
41.2,589
41.12,590
41.05,591
40.98,592
40.91,593
40.84,594
40.78,595
40.71,596
40.64,597
40.57,598
40.49,599
40.4,600
40.32,601
40.24,602
40.16,603
40.08,604
40.0,605
39.91,606
39.83,607
39.76,608
39.68,609
39.6,610
39.53,611
39.45,612
39.38,613
39.3,614
39.23,615
39.15,616
39.08,617
39.01,618
38.94,619
38.87,620
38.8,621
38.72,622
38.65,623
38.58,624
38.51,625
38.44,626
38.37,627
38.3,628
38.25,629
38.19,630
38.14,631
38.08,632
38.01,633
37.95,634
37.95,635
37.95,636
37.95,637
37.97,638
38.0,639
38.03,640
38.12,641
38.21,642
38.3,643
38.38,644
38.46,645
38.54,646
38.66,647
38.78,648
38.9,649
39.01,650
39.13,651
39.24,652
39.34,653
39.44,654
39.54,655
39.68,656
39.82,657
39.96,658
40.1,659
40.25,660
40.4,661
40.54,662
40.68,663
40.82,664
40.98,665
41.14,666
41.3,667
41.38,668
41.45,669
41.52,670
41.67,671
41.81,672
41.96,673
42.09,674
42.22,675
42.35,676
42.45,677
42.55,678
42.64,679
42.69,680
42.73,681
42.78,682
42.82,683
42.87,684
42.91,685
42.97,686
43.02,687
43.07,688
43.12,689
43.17,690
43.22,691
43.24,692
43.26,693
43.29,694
43.28,695
43.28,696
43.28,697
43.25,698
43.22,699
43.19,700
43.14,701
43.09,702
43.05,703
42.99,704
42.94,705
42.88,706
42.82,707
42.76,708
42.7,709
42.64,710
42.57,711
42.51,712
42.45,713
42.39,714
42.32,715
42.26,716
42.19,717
42.12,718
42.05,719
41.99,720
41.92,721
41.86,722
41.8,723
41.73,724
41.67,725
41.6,726
41.54,727
41.48,728
41.42,729
41.36,730
41.3,731
41.24,732
41.18,733
41.12,734
41.06,735
41.0,736
40.94,737
40.88,738
40.82,739
40.76,740
40.7,741
40.63,742
40.57,743
40.51,744
40.44,745
40.38,746
40.32,747
40.25,748
40.2,749
40.14,750
40.09,751
40.06,752
40.04,753
40.02,754
40.0,755
39.99,756
39.97,757
39.96,758
39.95,759
39.94,760
39.95,761
39.95,762
39.96,763
39.96,764
39.95,765
39.95,766
39.95,767
39.95,768
39.95,769
39.94,770
39.93,771
39.92,772
39.9,773
39.87,774
39.85,775
39.82,776
39.79,777
39.76,778
39.72,779
39.69,780
39.66,781
39.63,782
39.6,783
39.56,784
39.53,785
39.5,786
39.47,787
39.42,788
39.38,789
39.33,790
39.29,791
39.25,792
39.21,793
39.16,794
39.11,795
39.06,796
39.01,797
38.97,798
38.92,799
38.87,800
38.82,801
38.77,802
38.72,803
38.68,804
38.64,805
38.6,806
38.56,807
38.51,808
38.48,809
38.44,810
38.4,811
38.36,812
38.31,813
38.27,814
38.23,815
38.2,816
38.16,817
38.11,818
38.06,819
38.01,820
37.96,821
37.9,822
37.85,823
37.8,824
37.75,825
37.7,826
37.69,827
37.67,828
37.65,829
37.63,830
37.61,831
37.59,832
37.6,833
37.62,834
37.63,835
37.64,836
37.65,837
37.66,838
37.73,839
37.81,840
37.89,841
37.96,842
38.03,843
38.1,844
38.24,845
38.37,846
38.5,847
38.58,848
38.65,849
38.72,850
38.83,851
38.94,852
39.04,853
39.13,854
39.21,855
39.29,856
39.45,857
39.62,858
39.78,859
39.95,860
40.13,861
40.3,862
40.52,863
40.74,864
40.95,865
41.1,866
41.24,867
41.39,868
41.62,869
41.86,870
42.09,871
42.27,872
42.44,873
42.62,874
42.8,875
42.97,876
43.15,877
43.23,878
43.31,879
43.4,880
43.49,881
43.57,882
43.66,883
43.68,884
43.7,885
43.72,886
43.74,887
43.76,888
43.79,889
43.82,890
43.84,891
43.87,892
43.88,893
43.88,894
43.89,895
43.9,896
43.91,897
43.92,898
43.91,899
43.89,900
43.88,901
43.86,902
43.83,903
43.81,904
43.76,905
43.71,906
43.66,907
43.62,908
43.57,909
43.53,910
43.48,911
43.44,912
43.4,913
43.34,914
43.29,915
43.24,916
43.18,917
43.13,918
43.08,919
43.03,920
42.98,921
42.92,922
42.87,923
42.82,924
42.77,925
42.73,926
42.68,927
42.63,928
42.59,929
42.54,930
42.5,931
42.45,932
42.41,933
42.36,934
42.31,935
42.27,936
42.22,937
42.18,938
42.13,939
42.09,940
42.04,941
42.0,942
41.95,943
41.91,944
41.87,945
41.82,946
41.78,947
41.73,948
41.69,949
41.64,950
41.6,951
41.55,952
41.51,953
41.46,954
41.42,955
41.38,956
41.33,957
41.29,958
41.24,959
41.2,960
41.16,961
41.12,962
41.07,963
41.03,964
40.98,965
40.94,966
40.89,967
40.85,968
40.8,969
40.76,970
40.72,971
40.67,972
40.63,973
40.59,974
40.55,975
40.51,976
40.47,977
40.43,978
40.39,979
40.35,980
40.31,981
40.26,982
40.22,983
40.18,984
40.14,985
40.1,986
40.06,987
40.01,988
39.97,989
39.93,990
39.89,991
39.85,992
39.81,993
39.77,994
39.73,995
39.69,996
39.65,997
39.61,998
39.58,999
39.54,1000
39.5,1001
39.46,1002
39.42,1003
39.38,1004
39.34,1005
39.3,1006
39.27,1007
39.23,1008
39.19,1009
39.15,1010
39.11,1011
39.08,1012
39.04,1013
39.0,1014
38.97,1015
38.95,1016
38.93,1017
38.91,1018
38.88,1019
38.86,1020
38.83,1021
38.81,1022
38.79,1023
38.78,1024
38.76,1025
38.74,1026
38.72,1027
38.69,1028
38.67,1029
38.64,1030
38.62,1031
38.6,1032
38.58,1033
38.55,1034
38.51,1035
38.48,1036
38.45,1037
38.42,1038
38.38,1039
38.35,1040
38.31,1041
38.27,1042
38.23,1043
38.19,1044
38.16,1045
38.12,1046
38.08,1047
38.05,1048
38.01,1049
37.98,1050
37.94,1051
37.91,1052
37.87,1053
37.83,1054
37.8,1055
37.77,1056
37.73,1057
37.7,1058
37.67,1059
37.65,1060
37.62,1061
37.59,1062
37.57,1063
37.54,1064
37.52,1065
37.49,1066
37.47,1067
37.44,1068
37.41,1069
37.38,1070
37.35,1071
37.31,1072
37.28,1073
37.25,1074
37.21,1075
37.2,1076
37.18,1077
37.17,1078
37.16,1079
37.14,1080
37.13,1081
37.12,1082
37.1,1083
37.09,1084
37.07,1085
37.06,1086
37.04,1087
37.01,1088
36.99,1089
36.96,1090
36.93,1091
36.9,1092
36.87,1093
36.85,1094
36.83,1095
36.81,1096
36.82,1097
36.83,1098
36.85,1099
36.87,1100
36.89,1101
36.91,1102
36.92,1103
36.93,1104
36.95,1105
36.94,1106
36.94,1107
36.94,1108
36.97,1109
37.01,1110
37.04,1111
37.08,1112
37.12,1113
37.16,1114
37.23,1115
37.29,1116
37.35,1117
37.39,1118
37.42,1119
37.45,1120
37.49,1121
37.53,1122
37.57,1123
37.6,1124
37.63,1125
37.65,1126
37.71,1127
37.76,1128
37.82,1129
37.86,1130
37.9,1131
37.94,1132
38.0,1133
38.06,1134
38.12,1135
38.17,1136
38.23,1137
38.28,1138
38.33,1139
38.38,1140
38.43,1141
38.49,1142
38.55,1143
38.61,1144
38.64,1145
38.67,1146
38.7,1147
38.72,1148
38.73,1149
38.74,1150
38.75,1151
38.75,1152
38.76,1153
38.77,1154
38.78,1155
38.79,1156
38.81,1157
38.84,1158
38.86,1159
38.87,1160
38.89,1161
38.91,1162
38.9,1163
38.89,1164
38.89,1165
38.87,1166
38.84,1167
38.82,1168
38.81,1169
38.79,1170
38.78,1171
38.76,1172
38.74,1173
38.72,1174
38.71,1175
38.71,1176
38.7,1177
38.7,1178
38.71,1179
38.71,1180
38.71,1181
38.71,1182
38.71,1183
38.73,1184
38.74,1185
38.75,1186
38.76,1187
38.76,1188
38.76,1189
38.75,1190
38.74,1191
38.74,1192
38.72,1193
38.71,1194
38.7,1195
38.68,1196
38.66,1197
38.63,1198
38.61,1199
38.59,1200
38.57,1201
38.55,1202
38.53,1203
38.51,1204
38.49,1205
38.47,1206
38.45,1207
38.46,1208
38.48,1209
38.49,1210
38.51,1211
38.53,1212
38.55,1213
38.57,1214
38.59,1215
38.61,1216
38.61,1217
38.6,1218
38.59,1219
38.6,1220
38.61,1221
38.62,1222
38.62,1223
38.61,1224
38.61,1225
38.62,1226
38.63,1227
38.64,1228
38.64,1229
38.64,1230
38.63,1231
38.63,1232
38.63,1233
38.63,1234
38.61,1235
38.6,1236
38.59,1237
38.57,1238
38.54,1239
38.52,1240
38.5,1241
38.47,1242
38.44,1243
38.41,1244
38.38,1245
38.35,1246
38.32,1247
38.28,1248
38.25,1249
38.23,1250
38.2,1251
38.17,1252
38.14,1253
38.12,1254
38.09,1255
38.07,1256
38.04,1257
38.02,1258
37.99,1259
37.96,1260
37.93,1261
37.9,1262
37.87,1263
37.84,1264
37.81,1265
37.77,1266
37.74,1267
37.71,1268
37.68,1269
37.65,1270
37.62,1271
37.59,1272
37.56,1273
37.53,1274
37.5,1275
37.47,1276
37.44,1277
37.41,1278
37.38,1279
37.36,1280
37.34,1281
37.31,1282
37.29,1283
37.27,1284
37.25,1285
37.24,1286
37.23,1287
37.22,1288
37.21,1289
37.19,1290
37.18,1291
37.19,1292
37.21,1293
37.22,1294
37.24,1295
37.26,1296
37.29,1297
37.33,1298
37.37,1299
37.41,1300
37.43,1301
37.45,1302
37.47,1303
37.5,1304
37.53,1305
37.56,1306
37.58,1307
37.61,1308
37.64,1309
37.67,1310
37.71,1311
37.74,1312
37.78,1313
37.81,1314
37.85,1315
37.91,1316
37.96,1317
38.02,1318
38.11,1319
38.2,1320
38.29,1321
38.38,1322
38.48,1323
38.57,1324
38.67,1325
38.77,1326
38.87,1327
38.96,1328
39.06,1329
39.16,1330
39.26,1331
39.35,1332
39.45,1333
39.54,1334
39.63,1335
39.73,1336
39.82,1337
39.91,1338
40.0,1339
40.03,1340
40.06,1341
40.1,1342
40.15,1343
40.21,1344
40.26,1345
40.31,1346
40.35,1347
40.39,1348
40.43,1349
40.47,1350
40.51,1351
40.52,1352
40.53,1353
40.53,1354
40.51,1355
40.49,1356
40.46,1357
40.44,1358
40.41,1359
40.39,1360
40.36,1361
40.33,1362
40.31,1363
40.28,1364
40.25,1365
40.23,1366
40.19,1367
40.16,1368
40.13,1369
40.1,1370
40.07,1371
40.04,1372
40.01,1373
39.98,1374
39.95,1375
39.92,1376
39.89,1377
39.86,1378
39.83,1379
39.8,1380
39.77,1381
39.74,1382
39.71,1383
39.68,1384
39.65,1385
39.62,1386
39.59,1387
39.56,1388
39.53,1389
39.5,1390
39.47,1391
39.45,1392
39.42,1393
39.39,1394
39.36,1395
39.33,1396
39.31,1397
39.28,1398
39.25,1399
39.22,1400
39.19,1401
39.16,1402
39.14,1403
39.11,1404
39.09,1405
39.06,1406
39.04,1407
39.01,1408
38.99,1409
38.96,1410
38.94,1411
38.91,1412
38.88,1413
38.85,1414
38.82,1415
38.79,1416
38.77,1417
38.74,1418
38.71,1419
38.68,1420
38.65,1421
38.62,1422
38.59,1423
38.56,1424
38.54,1425
38.51,1426
38.48,1427
38.45,1428
38.42,1429
38.39,1430
38.36,1431
38.34,1432
38.31,1433
38.29,1434
38.27,1435
38.24,1436
38.22,1437
38.2,1438
38.18,1439
38.15,1440
38.13,1441
38.11,1442
38.09,1443
38.07,1444
38.05,1445
38.03,1446
38.01,1447
37.99,1448
37.97,1449
37.95,1450
37.93,1451
37.91,1452
37.89,1453
37.87,1454
37.86,1455
37.84,1456
37.81,1457
37.78,1458
37.75,1459
37.73,1460
37.7,1461
37.67,1462
37.65,1463
37.63,1464
37.6,1465
37.58,1466
37.55,1467
37.53,1468
37.51,1469
37.48,1470
37.46,1471
37.43,1472
37.41,1473
37.39,1474
37.36,1475
37.33,1476
37.31,1477
37.28,1478
37.25,1479
37.23,1480
37.2,1481
37.17,1482
37.15,1483
37.12,1484
37.1,1485
37.07,1486
37.05,1487
37.03,1488
37.0,1489
36.98,1490
36.96,1491
36.94,1492
36.91,1493
36.89,1494
36.87,1495
36.85,1496
36.82,1497
36.8,1498
36.78,1499
36.75,1500
36.73,1501
36.7,1502
36.68,1503
36.65,1504
36.64,1505
36.62,1506
36.61,1507
36.6,1508
36.58,1509
36.57,1510
36.56,1511
36.55,1512
36.54,1513
36.52,1514
36.51,1515
36.5,1516
36.48,1517
36.46,1518
36.43,1519
36.41,1520
36.39,1521
36.37,1522
36.34,1523
36.32,1524
36.3,1525
36.28,1526
36.25,1527
36.23,1528
36.21,1529
36.18,1530
36.16,1531
36.13,1532
36.11,1533
36.08,1534
36.06,1535
36.04,1536
36.01,1537
35.99,1538
35.96,1539
35.94,1540
35.92,1541
35.9,1542
35.88,1543
35.86,1544
35.84,1545
35.82,1546
35.8,1547
35.79,1548
35.77,1549
35.76,1550
35.74,1551
35.72,1552
35.71,1553
35.69,1554
35.68,1555
35.68,1556
35.67,1557
35.67,1558
35.67,1559
35.68,1560
35.68,1561
35.7,1562
35.72,1563
35.74,1564
35.76,1565
35.78,1566
35.81,1567
35.83,1568
35.85,1569
35.87,1570
35.89,1571
35.9,1572
35.92,1573
35.93,1574
35.94,1575
35.95,1576
35.98,1577
36.01,1578
36.04,1579
36.1,1580
36.15,1581
36.21,1582
36.26,1583
36.32,1584
36.37,1585
36.45,1586
36.52,1587
36.6,1588
36.66,1589
36.72,1590
36.78,1591
36.84,1592
36.9,1593
36.96,1594
37.01,1595
37.06,1596
37.11,1597
37.15,1598
37.19,1599
37.23,1600
37.24,1601
37.26,1602
37.27,1603
37.27,1604
37.28,1605
37.28,1606
37.28,1607
37.28,1608
37.28,1609
37.3,1610
37.32,1611
37.34,1612
37.35,1613
37.36,1614
37.37,1615
37.39,1616
37.41,1617
37.42,1618
37.43,1619
37.43,1620
37.43,1621
37.42,1622
37.4,1623
37.39,1624
37.37,1625
37.36,1626
37.34,1627
37.32,1628
37.31,1629
37.29,1630
37.28,1631
37.26,1632
37.24,1633
37.23,1634
37.21,1635
37.2,1636
37.18,1637
37.16,1638
37.15,1639
37.12,1640
37.1,1641
37.08,1642
37.06,1643
37.04,1644
37.01,1645
36.99,1646
36.97,1647
36.95,1648
36.94,1649
36.92,1650
36.91,1651
36.89,1652
36.88,1653
36.87,1654
36.85,1655
36.83,1656
36.82,1657
36.8,1658
36.77,1659
36.75,1660
36.73,1661
36.72,1662
36.7,1663
36.68,1664
36.66,1665
36.64,1666
36.63,1667
36.62,1668
36.61,1669
36.6,1670
36.59,1671
36.57,1672
36.56,1673
36.54,1674
36.53,1675
36.5,1676
36.48,1677
36.46,1678
36.44,1679
36.42,1680
36.41,1681
36.39,1682
36.37,1683
36.35,1684
36.33,1685
36.31,1686
36.29,1687
36.28,1688
36.26,1689
36.24,1690
36.22,1691
36.2,1692
36.18,1693
36.16,1694
36.13,1695
36.11,1696
36.09,1697
36.07,1698
36.05,1699
36.03,1700
36.01,1701
35.99,1702
35.97,1703
35.96,1704
35.94,1705
35.92,1706
35.9,1707
35.88,1708
35.86,1709
35.84,1710
35.82,1711
35.8,1712
35.78,1713
35.76,1714
35.74,1715
35.72,1716
35.7,1717
35.68,1718
35.66,1719
35.63,1720
35.61,1721
35.59,1722
35.57,1723
35.55,1724
35.53,1725
35.51,1726
35.49,1727
35.47,1728
35.45,1729
35.43,1730
35.41,1731
35.39,1732
35.37,1733
35.35,1734
35.33,1735
35.31,1736
35.29,1737
35.27,1738
35.25,1739
35.23,1740
35.21,1741
35.2,1742
35.18,1743
35.17,1744
35.16,1745
35.15,1746
35.14,1747
35.13,1748
35.12,1749
35.11,1750
35.11,1751
35.11,1752
35.11,1753
35.11,1754
35.11,1755
35.11,1756
35.15,1757
35.2,1758
35.24,1759
35.29,1760
35.33,1761
35.38,1762
35.45,1763
35.52,1764
35.59,1765
35.67,1766
35.74,1767
