value,cumulative_avg,xtick
6.265750000000001,6.27,150
6.265750000000001,6.27,151
3.7747142857142855,5.44,152
3.7747142857142855,5.02,153
3.7747142857142855,4.77,154
4.539714285714287,4.73,155
4.539714285714287,4.71,156
4.539714285714287,4.68,157
2.719416666666666,4.47,158
2.719416666666666,4.29,159
2.719416666666666,4.15,160
2.9071666666666665,4.05,161
2.9071666666666665,3.96,162
2.9071666666666665,3.88,163
3.0262499999999997,3.83,164
3.0262499999999997,3.78,165
3.0262499999999997,3.73,166
3.0052,3.69,167
3.0052,3.65,168
3.0052,3.62,169
15.311666666666666,4.18,170
15.311666666666666,4.69,171
15.311666666666666,5.15,172
12.737666666666668,5.46,173
12.737666666666668,5.75,174
12.737666666666668,6.02,175
55.18978688524589,7.84,176
55.18978688524589,9.53,177
55.18978688524589,11.11,178
58.031874999999985,12.67,179
58.031874999999985,14.14,180
58.031874999999985,15.51,181
74.51205633802817,17.3,182
74.51205633802817,18.98,183
74.51205633802817,20.57,184
77.9816233766234,22.16,185
77.9816233766234,23.67,186
77.9816233766234,25.1,187
67.91199999999999,26.2,188
67.91199999999999,27.24,189
67.91199999999999,28.23,190
73.55934831460674,29.31,191
73.55934831460674,30.34,192
73.55934831460674,31.32,193
64.49985869565215,32.06,194
64.49985869565215,32.76,195
64.49985869565215,33.44,196
66.94100999999998,34.14,197
66.94100999999998,34.81,198
66.94100999999998,35.45,199
86.27071764705883,36.45,200
86.27071764705883,37.4,201
86.27071764705883,38.33,202
129.12863917525775,40.01,203
129.12863917525775,41.63,204
129.12863917525775,43.19,205
170.38895402298851,45.42,206
170.38895402298851,47.58,207
170.38895402298851,49.66,208
179.92478000000006,51.83,209
179.92478000000006,53.93,210
179.92478000000006,55.96,211
120.28513999999996,56.98,212
120.28513999999996,57.97,213
120.28513999999996,58.93,214
110.49402999999997,59.71,215
110.49402999999997,60.47,216
110.49402999999997,61.21,217
111.81177000000001,61.94,218
111.81177000000001,62.65,219
111.81177000000001,63.34,220
116.69808139534885,64.08,221
116.69808139534885,64.81,222
116.69808139534885,65.51,223
82.88559756097561,65.74,224
82.88559756097561,65.96,225
82.88559756097561,66.18,226
60.86511267605635,66.12,227
60.86511267605635,66.05,228
60.86511267605635,65.98,229
55.44551351351351,65.85,230
55.44551351351351,65.73,231
55.44551351351351,65.6,232
79.60309459459462,65.77,233
79.60309459459462,65.93,234
79.60309459459462,66.09,235
58.72061538461536,66.01,236
58.72061538461536,65.92,237
58.72061538461536,65.84,238
70.32976470588234,65.89,239
70.32976470588234,65.94,240
70.32976470588234,65.99,241
22.256069444444446,65.52,242
22.256069444444446,65.06,243
22.256069444444446,64.61,244
30.923023809523812,64.26,245
30.923023809523812,63.91,246
30.923023809523812,63.58,247
24.846179487179487,63.19,248
24.846179487179487,62.8,249
24.846179487179487,62.43,250
43.3275925925926,62.24,251
43.3275925925926,62.06,252
43.3275925925926,61.88,253
29.020576923076923,61.56,254
29.020576923076923,61.26,255
29.020576923076923,60.95,256
30.86903703703704,60.68,257
30.86903703703704,60.4,258
30.86903703703704,60.13,259
12.049538461538459,59.7,260
12.049538461538459,59.28,261
12.049538461538459,58.86,262
11.596970588235292,58.44,263
11.596970588235292,58.04,264
11.596970588235292,57.64,265
7.7160851063829785,57.21,266
7.7160851063829785,56.79,267
7.7160851063829785,56.38,268
10.3079375,55.99,269
10.3079375,55.62,270
10.3079375,55.24,271
3.359909090909092,54.82,272
3.359909090909092,54.41,273
3.359909090909092,54.0,274
40.1728,53.89,275
40.1728,53.78,276
40.1728,53.67,277
40.46596551724137,53.57,278
40.46596551724137,53.47,279
40.46596551724137,53.37,280
60.53077777777779,53.43,281
60.53077777777779,53.48,282
60.53077777777779,53.53,283
17.213735294117654,53.26,284
17.213735294117654,53.0,285
17.213735294117654,52.74,286
20.56478125,52.5,287
20.56478125,52.27,288
20.56478125,52.05,289
30.651173913043472,51.9,290
30.651173913043472,51.75,291
30.651173913043472,51.6,292
22.144333333333336,51.39,293
22.144333333333336,51.19,294
22.144333333333336,50.99,295
22.0763125,50.8,296
22.0763125,50.6,297
22.0763125,50.41,298
37.467461538461535,50.33,299
37.467461538461535,50.24,300
37.467461538461535,50.16,301
42.3577972972973,50.11,302
42.3577972972973,50.05,303
42.3577972972973,50.01,304
58.09292307692308,50.06,305
58.09292307692308,50.11,306
58.09292307692308,50.16,307
59.87327397260274,50.22,308
59.87327397260274,50.28,309
59.87327397260274,50.34,310
36.44387719298246,50.25,311
36.44387719298246,50.17,312
36.44387719298246,50.09,313
37.70390566037736,50.01,314
37.70390566037736,49.94,315
37.70390566037736,49.86,316
25.45831707317073,49.72,317
25.45831707317073,49.57,318
25.45831707317073,49.43,319
16.0586875,49.24,320
16.0586875,49.04,321
16.0586875,48.85,322
13.02343902439025,48.65,323
13.02343902439025,48.44,324
13.02343902439025,48.24,325
12.829482142857147,48.04,326
12.829482142857147,47.85,327
12.829482142857147,47.65,328
8.470199999999998,47.43,329
8.470199999999998,47.22,330
8.470199999999998,47.0,331
6.255844444444444,46.78,332
6.255844444444444,46.56,333
6.255844444444444,46.34,334
10.734562500000001,46.15,335
10.734562500000001,45.96,336
10.734562500000001,45.77,337
5.858605263157895,45.56,338
5.858605263157895,45.35,339
5.858605263157895,45.15,340
6.388433333333333,44.95,341
6.388433333333333,44.75,342
6.388433333333333,44.55,343
7.109615384615386,44.36,344
7.109615384615386,44.17,345
7.109615384615386,43.98,346
3.7404705882352935,43.77,347
3.7404705882352935,43.57,348
3.7404705882352935,43.37,349
3.2798000000000003,43.18,350
3.2798000000000003,42.98,351
3.2798000000000003,42.78,352
7.484291666666668,42.61,353
7.484291666666668,42.44,354
7.484291666666668,42.27,355
6.593361111111114,42.1,356
6.593361111111114,41.92,357
6.593361111111114,41.76,358
8.066851851851855,41.6,359
8.066851851851855,41.44,360
8.066851851851855,41.28,361
36.49540476190476,41.26,362
36.49540476190476,41.23,363
36.49540476190476,41.21,364
40.587714285714306,41.21,365
40.587714285714306,41.21,366
40.587714285714306,41.2,367
33.78506000000001,41.17,368
33.78506000000001,41.14,369
33.78506000000001,41.1,370
12.908475,40.98,371
12.908475,40.85,372
12.908475,40.73,373
56.63892753623189,40.8,374
56.63892753623189,40.87,375
56.63892753623189,40.94,376
64.47612121212121,41.04,377
64.47612121212121,41.14,378
64.47612121212121,41.24,379
74.73986000000002,41.39,380
74.73986000000002,41.53,381
74.73986000000002,41.67,382
84.04363043478257,41.86,383
84.04363043478257,42.03,384
84.04363043478257,42.21,385
128.20176,42.58,386
128.20176,42.94,387
128.20176,43.29,388
130.93024000000003,43.66,389
130.93024000000003,44.02,390
130.93024000000003,44.38,391
119.11580000000004,44.69,392
119.11580000000004,44.99,393
119.11580000000004,45.29,394
122.37028000000008,45.61,395
122.37028000000008,45.92,396
122.37028000000008,46.23,397
126.90771,46.55,398
126.90771,46.87,399
126.90771,47.19,400
125.33810000000003,47.5,401
125.33810000000003,47.81,402
125.33810000000003,48.11,403
168.15289,48.58,404
168.15289,49.05,405
168.15289,49.51,406
168.90555999999992,49.98,407
168.90555999999992,50.44,408
168.90555999999992,50.89,409
171.40819587628866,51.35,410
171.40819587628866,51.81,411
171.40819587628866,52.27,412
184.71292708333326,52.77,413
184.71292708333326,53.27,414
184.71292708333326,53.76,415
131.74364130434785,54.05,416
131.74364130434785,54.34,417
131.74364130434785,54.63,418
135.35583000000008,54.93,419
135.35583000000008,55.23,420
135.35583000000008,55.52,421
98.52214285714288,55.68,422
98.52214285714288,55.83,423
98.52214285714288,55.99,424
79.05183000000001,56.07,425
79.05183000000001,56.16,426
79.05183000000001,56.24,427
64.48522999999999,56.27,428
64.48522999999999,56.3,429
64.48522999999999,56.33,430
63.96727,56.35,431
63.96727,56.38,432
63.96727,56.41,433
64.05632291666667,56.43,434
64.05632291666667,56.46,435
64.05632291666667,56.49,436
54.03584931506849,56.48,437
54.03584931506849,56.47,438
54.03584931506849,56.46,439
52.775063492063495,56.45,440
52.775063492063495,56.44,441
52.775063492063495,56.42,442
25.504428571428566,56.32,443
25.504428571428566,56.21,444
25.504428571428566,56.11,445
21.468357142857137,55.99,446
21.468357142857137,55.88,447
21.468357142857137,55.76,448
26.757424242424236,55.67,449
26.757424242424236,55.57,450
26.757424242424236,55.48,451
14.32825,55.34,452
14.32825,55.2,453
14.32825,55.07,454
3.404590909090909,54.9,455
3.404590909090909,54.73,456
3.404590909090909,54.57,457
2.6109047619047616,54.4,458
2.6109047619047616,54.23,459
2.6109047619047616,54.07,460
9.58730434782609,53.92,461
9.58730434782609,53.78,462
9.58730434782609,53.64,463
10.030391304347825,53.5,464
10.030391304347825,53.37,465
10.030391304347825,53.23,466
8.691821428571428,53.09,467
8.691821428571428,52.95,468
8.691821428571428,52.81,469
3.2988064516129034,52.66,470
3.2988064516129034,52.5,471
3.2988064516129034,52.35,472
9.776319999999998,52.22,473
9.776319999999998,52.09,474
9.776319999999998,51.96,475
9.45816129032258,51.83,476
9.45816129032258,51.7,477
9.45816129032258,51.57,478
11.73958333333333,51.45,479
11.73958333333333,51.33,480
11.73958333333333,51.21,481
5.364913043478261,51.07,482
5.364913043478261,50.94,483
5.364913043478261,50.8,484
4.6856,50.66,485
4.6856,50.53,486
4.6856,50.39,487
3.720653846153845,50.25,488
3.720653846153845,50.12,489
3.720653846153845,49.98,490
7.887571428571428,49.86,491
7.887571428571428,49.74,492
7.887571428571428,49.61,493
6.630227272727276,49.49,494
6.630227272727276,49.37,495
6.630227272727276,49.24,496
8.113647058823531,49.12,497
8.113647058823531,49.01,498
8.113647058823531,48.89,499
4.865105263157895,48.76,500
4.865105263157895,48.64,501
4.865105263157895,48.52,502
3.446000000000001,48.39,503
3.446000000000001,48.26,504
3.446000000000001,48.14,505
4.7010000000000005,48.01,506
4.7010000000000005,47.89,507
4.7010000000000005,47.77,508
5.30042105263158,47.66,509
5.30042105263158,47.54,510
5.30042105263158,47.42,511
5.123619047619049,47.3,512
5.123619047619049,47.19,513
5.123619047619049,47.07,514
