value,xtick
11.84,150
14.1,151
14.85,152
15.23,153
14.3,154
13.69,155
13.25,156
13.04,157
12.88,158
12.76,159
12.28,160
11.88,161
11.55,162
11.65,163
11.74,164
11.82,165
11.89,166
11.96,167
12.01,168
12.08,169
12.15,170
12.21,171
12.07,172
11.93,173
11.81,174
11.62,175
11.44,176
11.27,177
11.09,178
10.93,179
10.77,180
10.6,181
10.44,182
10.29,183
10.13,184
9.98,185
9.83,186
9.7,187
9.58,188
9.46,189
9.35,190
9.24,191
9.14,192
8.99,193
8.84,194
8.71,195
8.58,196
8.45,197
8.34,198
8.41,199
8.48,200
8.55,201
8.53,202
8.52,203
8.5,204
8.52,205
8.54,206
8.56,207
8.54,208
8.52,209
8.5,210
8.39,211
8.3,212
8.2,213
8.11,214
8.02,215
7.94,216
7.85,217
7.77,218
7.69,219
7.61,220
7.53,221
7.46,222
7.48,223
7.51,224
7.54,225
7.52,226
7.51,227
7.49,228
7.53,229
7.57,230
7.6,231
7.63,232
7.65,233
7.67,234
7.66,235
7.66,236
7.65,237
7.64,238
7.63,239
7.63,240
7.58,241
7.53,242
7.49,243
7.44,244
7.4,245
7.36,246
7.33,247
7.3,248
7.28,249
7.24,250
7.2,251
7.16,252
7.12,253
7.08,254
7.04,255
6.99,256
6.95,257
6.91,258
6.87,259
6.83,260
6.8,261
6.76,262
6.72,263
6.68,264
6.65,265
6.61,266
6.58,267
6.54,268
6.51,269
6.48,270
6.45,271
6.42,272
6.39,273
6.4,274
6.41,275
6.42,276
6.45,277
6.47,278
6.49,279
6.51,280
6.52,281
6.53,282
6.5,283
6.47,284
6.45,285
6.43,286
6.41,287
6.39,288
6.38,289
6.36,290
6.34,291
6.32,292
6.29,293
6.27,294
6.24,295
6.22,296
6.19,297
6.17,298
6.14,299
6.12,300
6.1,301
6.07,302
6.05,303
6.02,304
6.0,305
5.97,306
5.95,307
5.93,308
5.91,309
6.03,310
6.15,311
6.27,312
6.39,313
6.5,314
6.62,315
6.78,316
6.94,317
7.1,318
7.14,319
7.18,320
7.21,321
7.47,322
7.72,323
7.97,324
8.19,325
8.41,326
8.62,327
8.93,328
9.23,329
9.52,330
9.69,331
9.86,332
10.02,333
10.36,334
10.7,335
11.04,336
11.39,337
11.74,338
12.09,339
12.45,340
12.81,341
13.16,342
13.34,343
13.52,344
13.69,345
14.15,346
14.61,347
15.06,348
15.56,349
16.05,350
16.54,351
17.28,352
18.01,353
18.73,354
19.23,355
19.73,356
20.22,357
20.74,358
21.26,359
21.77,360
22.25,361
22.72,362
23.19,363
23.42,364
23.65,365
23.87,366
24.08,367
24.29,368
24.5,369
24.64,370
24.78,371
24.92,372
25.06,373
25.21,374
25.35,375
25.42,376
25.49,377
25.56,378
25.64,379
25.73,380
25.81,381
25.87,382
25.92,383
25.98,384
26.11,385
26.25,386
26.38,387
26.47,388
26.56,389
26.66,390
26.75,391
26.84,392
26.94,393
26.94,394
26.95,395
26.95,396
26.92,397
26.89,398
26.85,399
26.78,400
26.71,401
26.64,402
26.59,403
26.55,404
26.51,405
26.47,406
26.43,407
26.4,408
26.37,409
26.34,410
26.31,411
26.24,412
26.17,413
26.1,414
26.04,415
25.99,416
25.94,417
25.87,418
25.79,419
25.72,420
25.67,421
25.62,422
25.57,423
25.51,424
25.45,425
25.39,426
25.32,427
25.26,428
25.19,429
25.13,430
25.06,431
25.0,432
24.96,433
24.92,434
24.88,435
24.86,436
24.85,437
24.84,438
24.86,439
24.88,440
24.89,441
24.93,442
24.96,443
24.99,444
25.03,445
25.06,446
25.1,447
25.2,448
25.29,449
25.39,450
25.51,451
25.63,452
25.76,453
25.86,454
25.96,455
26.05,456
26.16,457
26.27,458
26.37,459
26.36,460
26.36,461
26.35,462
26.33,463
26.32,464
26.31,465
26.25,466
26.18,467
26.12,468
26.06,469
25.99,470
25.93,471
25.86,472
25.8,473
25.73,474
25.67,475
25.61,476
25.55,477
25.5,478
25.45,479
25.4,480
25.35,481
25.3,482
25.25,483
25.2,484
25.15,485
25.09,486
25.03,487
24.96,488
24.89,489
24.83,490
24.76,491
24.7,492
24.64,493
24.57,494
24.51,495
24.45,496
24.4,497
24.34,498
24.29,499
24.24,500
24.18,501
24.13,502
24.07,503
24.02,504
23.96,505
23.9,506
23.84,507
23.78,508
23.72,509
23.66,510
23.61,511
23.55,512
23.49,513
23.45,514
23.4,515
23.36,516
23.32,517
23.28,518
23.24,519
23.25,520
23.25,521
23.25,522
23.28,523
23.31,524
23.34,525
23.43,526
23.51,527
23.6,528
23.68,529
23.76,530
23.84,531
24.0,532
24.16,533
24.32,534
24.51,535
24.7,536
24.89,537
25.13,538
25.36,539
25.59,540
25.84,541
26.1,542
26.35,543
26.57,544
26.78,545
27.0,546
27.22,547
27.45,548
27.67,549
27.94,550
28.21,551
28.49,552
28.8,553
29.12,554
29.44,555
29.83,556
30.23,557
30.62,558
30.98,559
31.33,560
31.68,561
32.04,562
32.4,563
32.75,564
32.95,565
33.15,566
33.35,567
33.53,568
33.71,569
33.88,570
